,C,H,O,heat_rate,T,mass_porc,biomass
0,41.67,5.28,39.77,10,38,100.0,ESP
1,41.67,5.28,39.77,10,465,7.80223,ESP
2,41.67,5.28,39.77,15,53,99.94,ESP
3,41.67,5.28,39.77,20,91,100.0,ESP
4,41.67,5.28,39.77,15,533,7.85398,ESP
5,41.67,5.28,39.77,20,401,19.2471648033459,ESP
6,41.67,5.28,39.77,15,783,5.41201,ESP
7,41.67,5.28,39.77,10,763,5.68178,ESP
8,41.67,5.28,39.77,15,445,12.95985,ESP
9,41.67,5.28,39.77,20,74,100.0,ESP
10,41.67,5.28,39.77,15,890,5.01101,ESP
11,41.67,5.28,39.77,10,764,5.68817,ESP
12,41.67,5.28,39.77,10,261,77.60976,ESP
13,41.67,5.28,39.77,10,76,100.08764,ESP
14,41.67,5.28,39.77,10,625,5.88201,ESP
15,41.67,5.28,39.77,10,84,99.91893,ESP
16,41.67,5.28,39.77,20,614,7.36346818949568,ESP
17,41.67,5.28,39.77,10,507,6.88049,ESP
18,41.67,5.28,39.77,20,703,6.69991152577813,ESP
19,41.67,5.28,39.77,15,365,22.30458,ESP
20,41.67,5.28,39.77,15,884,5.01101,ESP
21,41.67,5.28,39.77,10,204,97.27841,ESP
22,41.67,5.28,39.77,20,442,15.125070377222,ESP
23,41.67,5.28,39.77,10,931,6.22593,ESP
24,41.67,5.28,39.77,20,398,19.5286736909836,ESP
25,41.67,5.28,39.77,15,52,100.0,ESP
26,41.67,5.28,39.77,10,247,88.63681,ESP
27,41.67,5.28,39.77,20,394,20.0514759108823,ESP
28,41.67,5.28,39.77,10,614,5.9684,ESP
29,41.67,5.28,39.77,10,711,5.83189,ESP
30,41.67,5.28,39.77,10,75,100.09212,ESP
31,41.67,5.28,39.77,15,533,7.8281,ESP
32,41.67,5.28,39.77,15,606,6.91698,ESP
33,41.67,5.28,39.77,15,360,23.06389,ESP
34,41.67,5.28,39.77,20,57,100.0,ESP
35,41.67,5.28,39.77,10,563,6.65152,ESP
36,41.67,5.28,39.77,15,340,26.79235,ESP
37,41.67,5.28,39.77,10,744,5.84883,ESP
38,41.67,5.28,39.77,15,357,23.38728,ESP
39,41.67,5.28,39.77,10,539,6.7674,ESP
40,41.67,5.28,39.77,20,396,19.790074800933,ESP
41,41.67,5.28,39.77,10,463,7.95329,ESP
42,41.67,5.28,39.77,10,390,14.72511,ESP
43,41.67,5.28,39.77,10,225,95.4996,ESP
44,41.67,5.28,39.77,10,223,95.67558,ESP
45,41.67,5.28,39.77,20,807,6.37818708276361,ESP
46,41.67,5.28,39.77,20,477,12.3501970562213,ESP
47,41.67,5.28,39.77,15,802,4.99369,ESP
48,41.67,5.28,39.77,10,105,99.39144,ESP
49,41.67,5.28,39.77,20,354,25.9832703289633,ESP
50,41.67,5.28,39.77,15,771,5.91048,ESP
51,41.67,5.28,39.77,10,485,7.13371,ESP
52,41.67,5.28,39.77,10,372,16.86372,ESP
53,41.67,5.28,39.77,20,125,99.7788144454274,ESP
54,41.67,5.28,39.77,20,318,34.951339177994,ESP
55,41.67,5.28,39.77,15,793,5.02066,ESP
56,41.67,5.28,39.77,20,83,100.0,ESP
57,41.67,5.28,39.77,20,758,6.47872597120571,ESP
58,41.67,5.28,39.77,20,608,7.42379152256091,ESP
59,41.67,5.28,39.77,10,494,6.99255,ESP
60,41.67,5.28,39.77,10,230,94.82404,ESP
61,41.67,5.28,39.77,10,477,7.30116,ESP
62,41.67,5.28,39.77,10,104,99.42527,ESP
63,41.67,5.28,39.77,10,456,8.29455,ESP
64,41.67,5.28,39.77,20,210,98.6326711171882,ESP
65,41.67,5.28,39.77,20,257,88.9809378267514,ESP
66,41.67,5.28,39.77,15,702,6.59048,ESP
67,41.67,5.28,39.77,15,866,5.01101,ESP
68,41.67,5.28,39.77,15,286,60.55137,ESP
69,41.67,5.28,39.77,15,771,5.96118,ESP
70,41.67,5.28,39.77,10,817,5.71095,ESP
71,41.67,5.28,39.77,15,215,97.06704,ESP
72,41.67,5.28,39.77,10,452,8.56754,ESP
73,41.67,5.28,39.77,10,836,5.62644,ESP
74,41.67,5.28,39.77,15,562,7.31757,ESP
75,41.67,5.28,39.77,10,766,5.71095,ESP
76,41.67,5.28,39.77,10,476,7.39932,ESP
77,41.67,5.28,39.77,15,36,100.0,ESP
78,41.67,5.28,39.77,10,753,5.83189,ESP
79,41.67,5.28,39.77,20,117,99.9396766669348,ESP
80,41.67,5.28,39.77,10,560,6.66343,ESP
81,41.67,5.28,39.77,15,392,18.50865,ESP
82,41.67,5.28,39.77,10,840,5.63788,ESP
83,41.67,5.28,39.77,10,212,96.68618,ESP
84,41.67,5.28,39.77,10,234,93.56143,ESP
85,41.67,5.28,39.77,15,29,100.0,ESP
86,41.67,5.28,39.77,15,507,8.97353,ESP
87,41.67,5.28,39.77,10,40,100.0,ESP
88,41.67,5.28,39.77,10,425,10.38066,ESP
89,41.67,5.28,39.77,10,851,5.90437,ESP
90,41.67,5.28,39.77,10,42,100.0,ESP
91,41.67,5.28,39.77,10,426,10.31036,ESP
92,41.67,5.28,39.77,10,879,6.21604,ESP
93,41.67,5.28,39.77,20,115,99.9597844446231,ESP
94,41.67,5.28,39.77,20,851,6.25754041663314,ESP
95,41.67,5.28,39.77,20,340,28.3358803185072,ESP
96,41.67,5.28,39.77,15,469,11.3871,ESP
97,41.67,5.28,39.77,20,678,6.78034263653173,ESP
98,41.67,5.28,39.77,15,68,100.03309,ESP
99,41.67,5.28,39.77,10,815,5.82544,ESP
100,41.67,5.28,39.77,10,242,91.33414,ESP
101,41.67,5.28,39.77,10,177,99.17428,ESP
102,41.67,5.28,39.77,15,377,20.59255,ESP
103,41.67,5.28,39.77,10,39,100.0,ESP
104,41.67,5.28,39.77,15,336,27.48703,ESP
105,41.67,5.28,39.77,15,779,5.88453,ESP
106,41.67,5.28,39.77,20,223,97.104480012869,ESP
