,C,H,O,heat_rate,T,mass_porc,biomass
0,61.93,0.91,35.47,20,342.319999999997,87.9686137750654,EU
1,61.93,0.91,35.47,20,816.279999999993,34.5597210113339,EU
2,61.93,0.91,35.47,10,698.199999999982,35.9761295822677,EU
3,61.93,0.91,35.47,10,154.599999999996,92.8047740835465,EU
4,61.93,0.91,35.47,15,885.419999999988,13.5205861828332,EU
5,61.93,0.91,35.47,15,221.399999999999,94.3126308443824,EU
6,61.93,0.91,35.47,10,256.299999999994,84.8252344416028,EU
7,61.93,0.91,35.47,15,117.360000000001,98.4124214933705,EU
8,61.93,0.91,35.47,20,624.399999999994,46.3121185701831,EU
9,61.93,0.91,35.47,10,875.499999999997,21.9096334185848,EU
10,61.93,0.91,35.47,20,899.919999999997,24.8474280732345,EU
11,61.93,0.91,35.47,10,447.999999999989,53.8959931798807,EU
12,61.93,0.91,35.47,20,645.719999999994,45.0217959895379,EU
13,61.93,0.91,35.47,10,760.299999999985,32.2250639386189,EU
14,61.93,0.91,35.47,20,752.319999999993,38.7096774193548,EU
15,61.93,0.91,35.47,10,202.299999999995,90.2983802216539,EU
16,61.93,0.91,35.47,10,848.499999999994,25.8141517476556,EU
17,61.93,0.91,35.47,15,814.019999999989,18.8764829030007,EU
18,61.93,0.91,35.47,15,699.779999999991,37.4912770411724,EU
19,61.93,0.91,35.47,10,57.3999999999986,98.7041773231032,EU
20,61.93,0.91,35.47,15,666.119999999992,39.93370551291,EU
21,61.93,0.91,35.47,15,804.839999999989,19.9406838799721,EU
22,61.93,0.91,35.47,20,557.159999999995,50.9503051438535,EU
23,61.93,0.91,35.47,10,549.699999999986,48.9514066496164,EU
24,61.93,0.91,35.47,15,755.87999999999,28.8032100488486,EU
25,61.93,0.91,35.47,10,865.599999999996,23.3759590792839,EU
26,61.93,0.91,35.47,15,500.879999999995,51.1339846475925,EU
27,61.93,0.91,35.47,10,62.7999999999985,98.4995737425405,EU
28,61.93,0.91,35.47,20,394.799999999996,84.8648648648649,EU
29,61.93,0.91,35.47,15,220.379999999999,94.347522679693,EU
30,61.93,0.91,35.47,10,412.89999999999,56.0443307757886,EU
31,61.93,0.91,35.47,15,840.539999999989,15.387299371947,EU
32,61.93,0.91,35.47,10,166.299999999996,92.0204603580563,EU
33,61.93,0.91,35.47,15,416.219999999996,59.4207955338451,EU
34,61.93,0.91,35.47,15,437.639999999996,54.8848569434753,EU
35,61.93,0.91,35.47,10,120.399999999997,94.919011082694,EU
36,61.93,0.91,35.47,15,623.279999999992,41.625959525471,EU
37,61.93,0.91,35.47,10,265.299999999993,84.1943734015345,EU
38,61.93,0.91,35.47,10,857.499999999995,24.7740835464621,EU
39,61.93,0.91,35.47,20,232.439999999997,96.8788142981692,EU
40,61.93,0.91,35.47,20,79.9199999999988,99.4071490845685,EU
41,61.93,0.91,35.47,10,195.999999999995,90.6052855924979,EU
42,61.93,0.91,35.47,10,720.699999999982,34.6973572037511,EU
43,61.93,0.91,35.47,20,32.3599999999992,99.8779424585877,EU
44,61.93,0.91,35.47,10,870.099999999997,23.1031543052004,EU
45,61.93,0.91,35.47,10,748.599999999984,33.1798806479114,EU
46,61.93,0.91,35.47,20,312.799999999997,91.386224934612,EU
47,61.93,0.91,35.47,10,129.399999999997,94.305200341006,EU
48,61.93,0.91,35.47,10,217.599999999995,89.6675191815857,EU
49,61.93,0.91,35.47,15,612.059999999993,42.1493370551291,EU
