,C,H,O,heat_rate,T,mass_porc,biomass
0,52.79,2.57,42.75,5,24.421,96.1565177124335,OP
1,52.79,2.57,42.75,5,20.692,9.79393378096786,OP
2,52.79,2.57,42.75,5,21.098,19.2174114378329,OP
3,52.79,2.57,42.75,10,24.439,96.8869731800767,OP
4,52.79,2.57,42.75,15,20.84,2.35810255004109,OP
5,52.79,2.57,42.75,5,20.359,2.13012271359116,OP
6,52.79,2.57,42.75,15,21.002,6.74527008500134,OP
7,52.79,2.57,42.75,15,24.255,95.9692898272553,OP
8,52.79,2.57,42.75,10,20.412,0.454980842911838,OP
9,52.79,2.57,42.75,15,24.373,99.232245681382,OP
10,52.79,2.57,42.75,10,20.905,12.2605363984674,OP
11,52.79,2.57,42.75,5,24.31,93.4938643204446,OP
12,52.79,2.57,42.75,10,22.346,46.7672413793104,OP
13,52.79,2.57,42.75,10,24.504,98.4434865900384,OP
14,52.79,2.57,42.75,15,24.332,98.0806142034549,OP
15,52.79,2.57,42.75,15,20.842,2.41294214422806,OP
16,52.79,2.57,42.75,10,20.945,13.2183908045977,OP
17,52.79,2.57,42.75,15,24.269,96.3531669865643,OP
18,52.79,2.57,42.75,15,20.996,6.63559089662729,OP
19,52.79,2.57,42.75,10,20.532,3.32854406130267,OP
20,52.79,2.57,42.75,15,21.011,6.82752947628184,OP
21,52.79,2.57,42.75,5,24.535,98.8191711044223,OP
22,52.79,2.57,42.75,5,20.288,0.439916647372121,OP
23,52.79,2.57,42.75,10,20.714,7.68678160919536,OP
24,52.79,2.57,42.75,10,20.402,0.215517241379319,OP
25,52.79,2.57,42.75,10,20.523,3.11302681992335,OP
26,52.79,2.57,42.75,15,24.338,98.2725527831094,OP
27,52.79,2.57,42.75,10,20.572,4.28639846743292,OP
28,52.79,2.57,42.75,5,22.987,62.9775410974763,OP
29,52.79,2.57,42.75,10,24.519,98.8026819923372,OP
30,52.79,2.57,42.75,5,20.509,5.6031488770549,OP
31,52.79,2.57,42.75,15,21.384,17.2470523718124,OP
32,52.79,2.57,42.75,5,20.553,6.62190321833761,OP
33,52.79,2.57,42.75,5,21.107,19.4257930076407,OP
34,52.79,2.57,42.75,10,20.84,10.7040229885057,OP
35,52.79,2.57,42.75,10,21.24,20.2825670498084,OP
36,52.79,2.57,42.75,5,24.387,95.369298448715,OP
37,52.79,2.57,42.75,5,21.687,32.8316739986108,OP
38,52.79,2.57,42.75,5,24.468,97.2215790692291,OP
39,52.79,2.57,42.75,5,21.487,28.2472794628386,OP
40,52.79,2.57,42.75,5,22.994,63.0470016207455,OP
41,52.79,2.57,42.75,15,21.499,20.0712914724431,OP
42,52.79,2.57,42.75,15,21.299,14.8066904304908,OP
43,52.79,2.57,42.75,5,24.478,97.4994211623062,OP
44,52.79,2.57,42.75,5,24.153,89.9282241259551,OP
45,52.79,2.57,42.75,10,24.55,99.5450191570882,OP
46,52.79,2.57,42.75,5,21.598,30.8173188238018,OP
47,52.79,2.57,42.75,5,24.516,98.3561009492939,OP
48,52.79,2.57,42.75,10,20.422,0.694444444444443,OP
49,52.79,2.57,42.75,10,20.439,1.10153256704979,OP
50,52.79,2.57,42.75,15,21.068,8.60981628735948,OP
51,52.79,2.57,42.75,15,20.879,3.42747463668769,OP
52,52.79,2.57,42.75,10,20.708,7.54310344827581,OP
53,52.79,2.57,42.75,5,20.782,11.9240564945589,OP
54,52.79,2.57,42.75,5,24.449,96.8048159296134,OP
55,52.79,2.57,42.75,10,24.418,96.3840996168582,OP
56,52.79,2.57,42.75,15,20.984,6.30655333150536,OP
57,52.79,2.57,42.75,5,20.711,10.2801574438527,OP
58,52.79,2.57,42.75,10,21.099,16.9061302681992,OP
59,52.79,2.57,42.75,15,20.879,3.42747463668769,OP
60,52.79,2.57,42.75,15,24.388,99.616122840691,OP
61,52.79,2.57,42.75,15,20.893,3.81135179599669,OP
62,52.79,2.57,42.75,5,21.447,27.2748321370688,OP
63,52.79,2.57,42.75,5,24.207,91.178513544802,OP
64,52.79,2.57,42.75,10,24.311,93.8218390804598,OP
65,52.79,2.57,42.75,5,20.493,5.18638573743923,OP
66,52.79,2.57,42.75,10,20.61,5.19636015325668,OP
67,52.79,2.57,42.75,10,20.781,9.29118773946356,OP
68,52.79,2.57,42.75,10,20.681,6.89655172413794,OP
69,52.79,2.57,42.75,10,21.162,18.4147509578544,OP
70,52.79,2.57,42.75,10,20.966,13.721264367816,OP
71,52.79,2.57,42.75,5,21.189,21.347534151424,OP
72,52.79,2.57,42.75,10,24.537,99.2337164750958,OP
73,52.79,2.57,42.75,5,24.574,99.6990043991665,OP
74,52.79,2.57,42.75,15,20.956,5.51137921579372,OP
75,52.79,2.57,42.75,5,21.383,25.8393146561704,OP
76,52.79,2.57,42.75,10,20.729,8.04597701149422,OP
77,52.79,2.57,42.75,5,24.569,99.5832368603844,OP
78,52.79,2.57,42.75,5,21.406,26.3486918268118,OP
79,52.79,2.57,42.75,5,21.442,27.1590645982867,OP
80,52.79,2.57,42.75,10,20.612,5.24425287356316,OP
81,52.79,2.57,42.75,10,20.455,1.48467432950186,OP
82,52.79,2.57,42.75,10,20.9,12.1408045977011,OP
83,52.79,2.57,42.75,5,23.401,72.3547117388284,OP
84,52.79,2.57,42.75,5,20.498,5.34846029173424,OP
85,52.79,2.57,42.75,5,21.375,25.6309330863626,OP
86,52.79,2.57,42.75,5,23.7,79.3239175735125,OP
87,52.79,2.57,42.75,5,20.779,11.8314424635332,OP
88,52.79,2.57,42.75,10,22.485,50.095785440613,OP
89,52.79,2.57,42.75,10,20.502,2.61015325670494,OP
90,52.79,2.57,42.75,5,21.291,23.6165779115536,OP
91,52.79,2.57,42.75,10,21.191,19.1091954022988,OP
92,52.79,2.57,42.75,5,24.029,87.0571891641584,OP
93,52.79,2.57,42.75,5,24.585,99.9768464922436,OP
94,52.79,2.57,42.75,5,20.943,15.6054642278305,OP
95,52.79,2.57,42.75,10,20.418,0.598659003831384,OP
96,52.79,2.57,42.75,5,23.603,77.0317203056264,OP
97,52.79,2.57,42.75,5,20.559,6.76082426487617,OP
98,52.79,2.57,42.75,10,21.197,19.2528735632184,OP
99,52.79,2.57,42.75,5,23.84,82.3107200740912,OP
100,52.79,2.57,42.75,10,22.558,51.8438697318008,OP
101,52.79,2.57,42.75,10,24.415,96.3122605363985,OP
102,52.79,2.57,42.75,10,24.262,92.6484674329502,OP
103,52.79,2.57,42.75,10,20.455,1.48467432950186,OP
104,52.79,2.57,42.75,5,20.821,12.8038897893031,OP
105,52.79,2.57,42.75,5,21.214,21.9263718453346,OP
106,52.79,2.57,42.75,10,20.928,12.8113026819923,OP
107,52.79,2.57,42.75,5,24.069,87.9833294744154,OP
108,52.79,2.57,42.75,15,21.161,11.0501782286811,OP
109,52.79,2.57,42.75,5,24.25,92.1972678860847,OP
110,52.79,2.57,42.75,15,24.225,95.1741157115438,OP
111,52.79,2.57,42.75,5,23.647,78.2357027089604,OP
112,52.79,2.57,42.75,5,24.578,99.8147719379486,OP
113,52.79,2.57,42.75,5,20.307,0.926140310256984,OP
114,52.79,2.57,42.75,10,24.151,89.9904214559387,OP
115,52.79,2.57,42.75,5,21.229,22.2505209539246,OP
116,52.79,2.57,42.75,5,20.663,9.16878907154436,OP
117,52.79,2.57,42.75,5,20.574,7.10812688122256,OP
118,52.79,2.57,42.75,10,24.29,93.3189655172414,OP
119,52.79,2.57,42.75,10,21.088,16.6427203065134,OP
120,52.79,2.57,42.75,10,24.325,94.1570881226054,OP
121,52.79,2.57,42.75,15,24.16,93.3644091033726,OP
122,52.79,2.57,42.75,5,21.15,20.421393841167,OP
123,52.79,2.57,42.75,10,23.797,81.5134099616859,OP
124,52.79,2.57,42.75,10,23.18,66.7385057471264,OP
125,52.79,2.57,42.75,15,20.987,6.38881272278577,OP
126,52.79,2.57,42.75,5,20.349,1.89858763602688,OP
127,52.79,2.57,42.75,5,21.397,26.0708497337347,OP
128,52.79,2.57,42.75,5,21.656,32.0907617504052,OP
129,52.79,2.57,42.75,15,24.224,95.1192761173567,OP
130,52.79,2.57,42.75,5,21.054,18.2218106043065,OP
131,52.79,2.57,42.75,5,24.358,94.6978467237787,OP
132,52.79,2.57,42.75,5,21.101,19.2868719611022,OP
133,52.79,2.57,42.75,5,20.882,14.1699467469322,OP
134,52.79,2.57,42.75,5,24.462,97.1289650382033,OP
135,52.79,2.57,42.75,5,24.403,95.7397545728178,OP
136,52.79,2.57,42.75,5,23.532,75.4572817781894,OP
137,52.79,2.57,42.75,10,24.452,97.198275862069,OP
138,52.79,2.57,42.75,5,24.326,93.9800879833295,OP
139,52.79,2.57,42.75,5,20.354,2.01435517480898,OP
140,52.79,2.57,42.75,10,24.201,91.1877394636016,OP
141,52.79,2.57,42.75,5,24.381,95.2535309099329,OP
142,52.79,2.57,42.75,5,21.52,28.9881917110442,OP
143,52.79,2.57,42.75,15,21.22,12.7502056484782,OP
144,52.79,2.57,42.75,5,24.413,95.9712896503821,OP
145,52.79,2.57,42.75,15,20.913,4.35974773786671,OP
146,52.79,2.57,42.75,10,20.549,3.73563218390802,OP
147,52.79,2.57,42.75,10,20.571,4.26245210727963,OP
148,52.79,2.57,42.75,10,20.561,4.02298850574711,OP
149,52.79,2.57,42.75,5,21.131,19.9583236860385,OP
150,52.79,2.57,42.75,5,21.251,22.7598981245659,OP
151,52.79,2.57,42.75,5,20.59,7.43227598981249,OP
152,52.79,2.57,42.75,5,21.451,27.3905996758509,OP
153,52.79,2.57,42.75,15,24.157,93.2547299149987,OP
154,52.79,2.57,42.75,5,20.571,7.03866635795328,OP
155,52.79,2.57,42.75,5,20.349,1.89858763602688,OP
156,52.79,2.57,42.75,15,20.925,4.68878530298874,OP
157,52.79,2.57,42.75,5,24.468,97.2678860847419,OP
158,52.79,2.57,42.75,5,21.563,29.9143320213013,OP
159,52.79,2.57,42.75,10,20.429,0.862068965517189,OP
160,52.79,2.57,42.75,5,20.483,5.00115767538785,OP
161,52.79,2.57,42.75,10,21.039,15.4693486590038,OP
162,52.79,2.57,42.75,5,21.147,20.3519333178977,OP
163,52.79,2.57,42.75,15,21.04,7.84206196874137,OP
164,52.79,2.57,42.75,5,20.608,7.89534614494099,OP
165,52.79,2.57,42.75,15,24.149,92.9531121469701,OP
166,52.79,2.57,42.75,10,21.264,20.8572796934866,OP
167,52.79,2.57,42.75,5,23.388,72.2157906922899,OP
168,52.79,2.57,42.75,5,20.399,3.05626302384815,OP
169,52.79,2.57,42.75,15,24.001,88.6756238003839,OP
170,52.79,2.57,42.75,15,24.191,94.2144228132712,OP
171,52.79,2.57,42.75,5,21.078,18.7774947904608,OP
172,52.79,2.57,42.75,10,20.791,9.53065134099616,OP
173,52.79,2.57,42.75,10,20.566,4.14272030651337,OP
174,52.79,2.57,42.75,5,21.139,20.1435517480899,OP
175,52.79,2.57,42.75,5,24.573,99.6990043991665,OP
176,52.79,2.57,42.75,10,20.465,1.72413793103446,OP
177,52.79,2.57,42.75,10,20.803,9.81800766283526,OP
178,52.79,2.57,42.75,5,20.555,6.66821023385044,OP
179,52.79,2.57,42.75,5,20.433,3.84348228756658,OP
180,52.79,2.57,42.75,5,21.5,28.5019680481593,OP
181,52.79,2.57,42.75,15,24.272,96.4354263778448,OP
182,52.79,2.57,42.75,10,20.596,4.8611111111111,OP
183,52.79,2.57,42.75,5,20.67,9.33086362583937,OP
184,52.79,2.57,42.75,5,20.683,9.6087057189164,OP
185,52.79,2.57,42.75,15,24.301,97.2580202906498,OP
186,52.79,2.57,42.75,5,22.032,40.5649455892568,OP
187,52.79,2.57,42.75,5,20.875,14.0773327159065,OP
188,52.79,2.57,42.75,5,20.292,0.578837693910677,OP
189,52.79,2.57,42.75,5,20.784,11.9703635100718,OP
190,52.79,2.57,42.75,5,24.229,91.4100486223663,OP
191,52.79,2.57,42.75,10,23.694,79.0469348659004,OP
192,52.79,2.57,42.75,10,20.544,3.61590038314176,OP
193,52.79,2.57,42.75,10,20.613,5.26819923371645,OP
194,52.79,2.57,42.75,5,23.121,66.0801111368372,OP
195,52.79,2.57,42.75,5,21.237,22.435749015976,OP
196,52.79,2.57,42.75,10,24.169,90.4214559386974,OP
197,52.79,2.57,42.75,5,20.591,7.50173651308177,OP
198,52.79,2.57,42.75,5,20.408,3.24149108589953,OP
199,52.79,2.57,42.75,5,21.068,18.5459597128966,OP
200,52.79,2.57,42.75,5,20.503,5.44107432275989,OP
201,52.79,2.57,42.75,5,20.629,8.38156980782593,OP
202,52.79,2.57,42.75,5,20.395,2.96364899282242,OP
203,52.79,2.57,42.75,10,21.165,18.4865900383141,OP
204,52.79,2.57,42.75,10,20.63,5.6752873563218,OP
205,52.79,2.57,42.75,5,22.843,59.6202824727946,OP
206,52.79,2.57,42.75,5,20.527,6.01991201667056,OP
207,52.79,2.57,42.75,15,24.221,95.0095969289828,OP
208,52.79,2.57,42.75,10,20.659,6.36973180076624,OP
209,52.79,2.57,42.75,5,24.585,99.9536929844872,OP
210,52.79,2.57,42.75,10,21.281,21.2643678160919,OP
211,52.79,2.57,42.75,15,21.217,12.6679462571977,OP
212,52.79,2.57,42.75,10,24.288,93.2710727969349,OP
213,52.79,2.57,42.75,5,20.658,9.0298680250058,OP
214,52.79,2.57,42.75,5,20.57,7.01551285019683,OP
215,52.79,2.57,42.75,5,20.295,0.648298217179955,OP
216,52.79,2.57,42.75,5,24.583,99.9305394767307,OP
217,52.79,2.57,42.75,15,24.266,96.2709075952838,OP
218,52.79,2.57,42.75,5,20.806,12.4565871729567,OP
219,52.79,2.57,42.75,5,23.204,67.9555452651077,OP
220,52.79,2.57,42.75,10,20.986,14.2001915708812,OP
221,52.79,2.57,42.75,10,20.412,0.454980842911838,OP
222,52.79,2.57,42.75,5,20.311,1.01875434128272,OP
223,52.79,2.57,42.75,15,24.296,97.0935015080889,OP
224,52.79,2.57,42.75,15,24.387,99.5338634494105,OP
225,52.79,2.57,42.75,15,20.955,5.45653962160675,OP
226,52.79,2.57,42.75,5,24.567,99.560083352628,OP
227,52.79,2.57,42.75,5,21.146,20.3287798101412,OP
228,52.79,2.57,42.75,15,20.84,2.35810255004109,OP
229,52.79,2.57,42.75,5,24.382,95.2535309099329,OP
230,52.79,2.57,42.75,5,24.365,94.8830747858301,OP
231,52.79,2.57,42.75,15,20.945,5.23718124485876,OP
232,52.79,2.57,42.75,15,24.249,95.7773512476008,OP
233,52.79,2.57,42.75,5,20.56,6.78397777263254,OP
234,52.79,2.57,42.75,15,21.05,8.11625993967643,OP
235,52.79,2.57,42.75,5,20.799,12.3176661264182,OP
236,52.79,2.57,42.75,5,24.585,99.9768464922436,OP
237,52.79,2.57,42.75,15,21.019,7.12914724431034,OP
238,52.79,2.57,42.75,10,20.808,9.93773946360152,OP
239,52.79,2.57,42.75,10,20.718,7.78256704980842,OP
240,52.79,2.57,42.75,5,24.58,99.8610789534614,OP
241,52.79,2.57,42.75,5,21.11,19.4489465153971,OP
242,52.79,2.57,42.75,5,20.641,8.58995137763376,OP
243,52.79,2.57,42.75,10,20.696,7.25574712643672,OP
244,52.79,2.57,42.75,5,20.625,8.26580226904375,OP
245,52.79,2.57,42.75,10,20.502,2.61015325670494,OP
246,52.79,2.57,42.75,15,24.391,99.725802029065,OP
247,52.79,2.57,42.75,15,24.238,95.4757334795723,OP
248,52.79,2.57,42.75,5,20.446,4.12132438064369,OP
249,52.79,2.57,42.75,5,24.343,94.3505441074323,OP
250,52.79,2.57,42.75,10,20.988,14.2480842911877,OP
251,52.79,2.57,42.75,5,24.285,92.9613336420468,OP
252,52.79,2.57,42.75,5,21.285,23.5702708960408,OP
253,52.79,2.57,42.75,5,21.601,30.8404723315583,OP
254,52.79,2.57,42.75,5,20.393,2.91734197730959,OP
255,52.79,2.57,42.75,5,20.419,3.49617967122019,OP
256,52.79,2.57,42.75,5,24.371,95.0219958323686,OP
