,C,H,O,heat_rate,T,mass_porc,biomass
0,75.63,0.79,22.14,10,272.779999999999,86.4258555133079,OU
1,75.63,0.79,22.14,10,759.319999999992,19.4296577946768,OU
2,75.63,0.79,22.14,20,801.439999999984,33.1891688604739,OU
3,75.63,0.79,22.14,20,815.479999999983,32.6626551335089,OU
4,75.63,0.79,22.14,10,102.14,94.2015209125475,OU
5,75.63,0.79,22.14,10,347.300000000002,72.4144486692015,OU
6,75.63,0.79,22.14,15,419.689999999997,71.9723183391004,OU
7,75.63,0.79,22.14,15,490.369999999994,52.6969265214736,OU
8,75.63,0.79,22.14,15,198.350000000002,94.4026053327906,OU
9,75.63,0.79,22.14,10,72.44,95.5513307984791,OU
10,75.63,0.79,22.14,10,274.4,86.2737642585551,OU
11,75.63,0.79,22.14,10,264.679999999999,86.8821292775665,OU
12,75.63,0.79,22.14,20,395.839999999998,80.9138773975178,OU
13,75.63,0.79,22.14,10,804.139999999989,17.3954372623574,OU
14,75.63,0.79,22.14,10,323.000000000001,78.8212927756654,OU
15,75.63,0.79,22.14,10,847.879999999986,14.5437262357415,OU
16,75.63,0.79,22.14,15,193.700000000002,94.5450844697741,OU
17,75.63,0.79,22.14,10,89.7200000000002,94.7338403041825,OU
18,75.63,0.79,22.14,20,756.199999999985,35.2200075216247,OU
19,75.63,0.79,22.14,15,862.369999999978,23.3462243028699,OU
20,75.63,0.79,22.14,15,740.53999999998,30.1852228780786,OU
21,75.63,0.79,22.14,20,130.64,95.3177886423468,OU
22,75.63,0.79,22.14,15,91.4000000000016,98.1884795440668,OU
23,75.63,0.79,22.14,10,826.279999999987,16.1977186311787,OU
24,75.63,0.79,22.14,20,548.719999999992,44.4904099285446,OU
25,75.63,0.79,22.14,10,803.059999999989,17.4144486692015,OU
26,75.63,0.79,22.14,15,241.130000000003,93.0592306126603,OU
27,75.63,0.79,22.14,10,695.599999999996,21.787072243346,OU
28,75.63,0.79,22.14,10,126.440000000001,93.6692015209125,OU
29,75.63,0.79,22.14,20,734.359999999986,35.8969537420083,OU
30,75.63,0.79,22.14,20,890.359999999981,29.9924783753291,OU
31,75.63,0.79,22.14,10,492.020000000008,34.8479087452471,OU
32,75.63,0.79,22.14,20,467.599999999995,61.6397141782625,OU
33,75.63,0.79,22.14,10,420.740000000005,46.2737642585551,OU
34,75.63,0.79,22.14,15,520.129999999992,48.6668023610828,OU
35,75.63,0.79,22.14,15,683.809999999983,33.8286179523712,OU
36,75.63,0.79,22.14,10,327.860000000002,78.0038022813688,OU
37,75.63,0.79,22.14,15,113.720000000002,97.3539588845919,OU
38,75.63,0.79,22.14,10,87.0200000000002,94.9049429657795,OU
39,75.63,0.79,22.14,15,425.269999999997,68.7970690006106,OU
40,75.63,0.79,22.14,15,311.810000000003,88.2556482800733,OU
41,75.63,0.79,22.14,10,139.940000000001,93.3460076045627,OU
42,75.63,0.79,22.14,10,33.02,98.9163498098859,OU
43,75.63,0.79,22.14,10,252.259999999999,87.2813688212928,OU
44,75.63,0.79,22.14,15,487.579999999994,53.1650722572766,OU
45,75.63,0.79,22.14,15,819.589999999976,25.9515570934256,OU
46,75.63,0.79,22.14,10,874.339999999984,12.2813688212928,OU
47,75.63,0.79,22.14,15,147.200000000002,96.3973132505597,OU
48,75.63,0.79,22.14,20,458.239999999996,64.2910868747649,OU
49,75.63,0.79,22.14,20,221.120000000001,92.2151184655886,OU
50,75.63,0.79,22.14,15,151.850000000002,96.1734174638714,OU
51,75.63,0.79,22.14,10,436.940000000006,42.6996197718631,OU
52,75.63,0.79,22.14,15,307.160000000003,88.5202523916141,OU
53,75.63,0.79,22.14,15,641.029999999986,36.8817423163037,OU
54,75.63,0.79,22.14,10,520.640000000008,31.5969581749049,OU
55,75.63,0.79,22.14,15,570.349999999989,43.6800325666599,OU
56,75.63,0.79,22.14,10,470.960000000007,38.1558935361217,OU
57,75.63,0.79,22.14,20,314.720000000001,85.9721699887176,OU
58,75.63,0.79,22.14,10,405.080000000005,50.0950570342206,OU
59,75.63,0.79,22.14,10,171.8,92.1863117870722,OU
60,75.63,0.79,22.14,10,583.280000000004,26.4828897338403,OU
61,75.63,0.79,22.14,15,374.12,79.6865458986362,OU
62,75.63,0.79,22.14,10,765.259999999991,19.1444866920152,OU
63,75.63,0.79,22.14,10,362.960000000003,68.3460076045627,OU
64,75.63,0.79,22.14,10,845.719999999986,14.7148288973384,OU
65,75.63,0.79,22.14,10,809.539999999988,17.1673003802281,OU
66,75.63,0.79,22.14,10,486.080000000008,36.0456273764259,OU
67,75.63,0.79,22.14,15,304.370000000003,88.9069814777121,OU
68,75.63,0.79,22.14,20,158.72,94.810078977059,OU
69,75.63,0.79,22.14,10,43.82,97.6235741444867,OU
70,75.63,0.79,22.14,20,356.839999999999,84.2233922527266,OU
71,75.63,0.79,22.14,10,320.840000000001,79.0684410646387,OU
72,75.63,0.79,22.14,15,686.599999999983,33.7268471402402,OU
73,75.63,0.79,22.14,20,55.7600000000003,99.2854456562618,OU
74,75.63,0.79,22.14,10,319.220000000001,79.3155893536122,OU
75,75.63,0.79,22.14,15,288.560000000003,90.3114186851211,OU
76,75.63,0.79,22.14,15,903.289999999981,21.4329330348056,OU
77,75.63,0.79,22.14,20,824.839999999983,32.3053779616397,OU
78,75.63,0.79,22.14,15,120.230000000002,97.2114797476084,OU
79,75.63,0.79,22.14,10,329.480000000002,77.5665399239543,OU
80,75.63,0.79,22.14,15,577.789999999989,43.130470181152,OU
81,75.63,0.79,22.14,20,310.040000000001,86.5362918390373,OU
82,75.63,0.79,22.14,20,589.279999999991,42.8920646859722,OU
83,75.63,0.79,22.14,20,470.719999999995,61.5456938698759,OU
84,75.63,0.79,22.14,15,48.6200000000013,99.6539792387543,OU
85,75.63,0.79,22.14,20,281.960000000001,88.9996239187664,OU
86,75.63,0.79,22.14,15,500.599999999993,51.2314268267861,OU
87,75.63,0.79,22.14,10,512.540000000009,32.4714828897338,OU
88,75.63,0.79,22.14,10,796.579999999989,17.7946768060836,OU
89,75.63,0.79,22.14,15,63.5000000000014,99.430083452066,OU
90,75.63,0.79,22.14,10,41.12,98.3269961977186,OU
91,75.63,0.79,22.14,10,842.479999999986,15.0380228136882,OU
92,75.63,0.79,22.14,20,136.88,95.1861602106055,OU
93,75.63,0.79,22.14,10,253.879999999999,87.1863117870722,OU
94,75.63,0.79,22.14,10,739.879999999993,20.1520912547528,OU
95,75.63,0.79,22.14,10,397.520000000004,52.3574144486692,OU
96,75.63,0.79,22.14,10,284.12,85.1140684410646,OU
97,75.63,0.79,22.14,10,609.740000000002,25.6273764258555,OU
98,75.63,0.79,22.14,15,750.76999999998,29.656014654997,OU
99,75.63,0.79,22.14,10,286.82,84.7528517110266,OU
100,75.63,0.79,22.14,10,476.360000000007,37.3384030418251,OU
101,75.63,0.79,22.14,15,251.360000000003,92.7335640138409,OU
102,75.63,0.79,22.14,10,168.02,92.3954372623574,OU
103,75.63,0.79,22.14,10,461.240000000007,40.0570342205323,OU
104,75.63,0.79,22.14,15,381.559999999999,78.5874211276206,OU
105,75.63,0.79,22.14,10,762.559999999992,19.1825095057034,OU
106,75.63,0.79,22.14,20,707.839999999987,36.7243324558105,OU
107,75.63,0.79,22.14,10,62.1799999999999,96.1216730038023,OU
108,75.63,0.79,22.14,15,808.429999999976,26.4400569916548,OU
109,75.63,0.79,22.14,15,806.569999999977,26.460411154081,OU
110,75.63,0.79,22.14,10,623.780000000001,24.9239543726236,OU
111,75.63,0.79,22.14,10,806.839999999989,17.2053231939164,OU
112,75.63,0.79,22.14,10,586.520000000004,26.425855513308,OU
113,75.63,0.79,22.14,10,348.920000000002,72.2053231939163,OU
114,75.63,0.79,22.14,10,221.479999999999,89.1254752851711,OU
115,75.63,0.79,22.14,15,346.220000000001,84.1441074699776,OU
116,75.63,0.79,22.14,15,81.1700000000016,98.7787502544271,OU
117,75.63,0.79,22.14,10,525.500000000008,31.2357414448669,OU
118,75.63,0.79,22.14,10,214.999999999999,89.5437262357414,OU
119,75.63,0.79,22.14,20,899.71999999998,29.7668296352013,OU
120,75.63,0.79,22.14,15,464.329999999995,58.0093629147161,OU
121,75.63,0.79,22.14,10,288.44,84.5437262357414,OU
122,75.63,0.79,22.14,15,635.449999999986,37.2074089151231,OU
123,75.63,0.79,22.14,10,666.439999999998,23.212927756654,OU
124,75.63,0.79,22.14,10,870.019999999984,12.5285171102661,OU
125,75.63,0.79,22.14,20,168.08,94.5844302369312,OU
126,75.63,0.79,22.14,15,329.480000000002,86.3220028495827,OU
