,C,H,O,heat_rate,T,mass_porc,biomass
0,48.95,1.38,48.41,10,367.000000000009,27.2750316856781,PP
1,48.95,1.38,48.41,5,212.900000000007,95.0390174572954,PP
2,48.95,1.38,48.41,5,128.600000000004,98.7396422729346,PP
3,48.95,1.38,48.41,5,127.700000000004,98.7396422729346,PP
4,48.95,1.38,48.41,15,155.333540000003,94.6178686759957,PP
5,48.95,1.38,48.41,5,142.100000000004,98.3374004451477,PP
6,48.95,1.38,48.41,15,641.630645000017,2.90635091496234,PP
7,48.95,1.38,48.41,10,357.400000000009,28.4917617237009,PP
8,48.95,1.38,48.41,5,106.100000000003,98.9273551259017,PP
9,48.95,1.38,48.41,5,223.400000000007,94.5026950202462,PP
10,48.95,1.38,48.41,5,410.359000000001,22.8500174304792,PP
11,48.95,1.38,48.41,5,162.800000000005,97.1306749617871,PP
12,48.95,1.38,48.41,10,549.400000000016,13.9163498098859,PP
13,48.95,1.38,48.41,5,152.300000000005,97.7206296425412,PP
14,48.95,1.38,48.41,5,717.878999999989,6.2508380038079,PP
15,48.95,1.38,48.41,10,383.20000000001,26.0836501901141,PP
16,48.95,1.38,48.41,5,211.100000000007,95.1462819447052,PP
17,48.95,1.38,48.41,15,117.173405000002,96.1248654467169,PP
18,48.95,1.38,48.41,5,99.2000000000025,99.0882518570165,PP
19,48.95,1.38,48.41,15,510.516335000014,9.3379978471475,PP
20,48.95,1.38,48.41,10,247.000000000005,86.1850443599493,PP
21,48.95,1.38,48.41,10,362.800000000009,27.5792141951838,PP
22,48.95,1.38,48.41,15,118.151870000002,96.0441334768569,PP
23,48.95,1.38,48.41,15,628.910600000017,3.20236813778255,PP
24,48.95,1.38,48.41,10,494.200000000014,17.6679340937897,PP
25,48.95,1.38,48.41,15,340.263425000009,21.8514531754575,PP
26,48.95,1.38,48.41,15,94.6687100000016,97.2012917115178,PP
27,48.95,1.38,48.41,10,35.7999999999986,99.873257287706,PP
28,48.95,1.38,48.41,5,111.200000000003,98.8737228821968,PP
29,48.95,1.38,48.41,5,430.199000000001,21.6969241908235,PP
30,48.95,1.38,48.41,10,580.000000000017,12.1419518377694,PP
