,C,H,O,heat_rate,T,mass_porc,biomass_ESP
0,41.67,5.28,39.77,10,282,52.57916,True
1,41.67,5.28,39.77,10,38,100.0,True
2,41.67,5.28,39.77,15,722,6.50798,True
3,41.67,5.28,39.77,15,876,5.01101,True
4,41.67,5.28,39.77,20,682,6.78034263653173,True
5,41.67,5.28,39.77,10,558,6.66878,True
6,41.67,5.28,39.77,10,521,6.82165,True
7,41.67,5.28,39.77,20,63,100.0,True
8,41.67,5.28,39.77,10,474,7.45653,True
9,41.67,5.28,39.77,20,525,9.47478484677866,True
10,41.67,5.28,39.77,10,665,5.834,True
11,41.67,5.28,39.77,15,316,34.81209,True
12,41.67,5.28,39.77,15,557,7.38213,True
13,41.67,5.28,39.77,10,873,6.2245,True
14,41.67,5.28,39.77,15,793,5.02066,True
15,41.67,5.28,39.77,20,289,66.2390412611598,True
16,41.67,5.28,39.77,15,806,4.97869,True
17,41.67,5.28,39.77,10,392,14.14941,True
18,41.67,5.28,39.77,20,388,20.7753559076651,True
19,41.67,5.28,39.77,10,865,6.01874,True
20,41.67,5.28,39.77,15,298,49.77223,True
21,41.67,5.28,39.77,20,372,22.9469958980133,True
22,41.67,5.28,39.77,20,479,12.2697659454677,True
23,41.67,5.28,39.77,10,876,6.21722,True
24,41.67,5.28,39.77,10,775,5.84664,True
25,41.67,5.28,39.77,15,792,5.12945,True
26,41.67,5.28,39.77,20,294,60.0257379554412,True
27,41.67,5.28,39.77,10,277,59.42462,True
28,41.67,5.28,39.77,20,43,100.0,True
29,41.67,5.28,39.77,10,678,5.71812,True
30,41.67,5.28,39.77,15,617,6.89943,True
31,41.67,5.28,39.77,10,519,6.83203,True
32,41.67,5.28,39.77,20,625,7.20260596798835,True
33,41.67,5.28,39.77,20,514,10.0981259551195,True
34,41.67,5.28,39.77,10,600,6.1462,True
35,41.67,5.28,39.77,15,386,19.48469,True
36,41.67,5.28,39.77,15,249,91.37324,True
37,41.67,5.28,39.77,10,813,5.7978,True
38,41.67,5.28,39.77,10,37,100.0,True
39,41.67,5.28,39.77,10,175,99.28473,True
40,41.67,5.28,39.77,15,479,10.79401,True
41,41.67,5.28,39.77,15,362,22.75189,True
42,41.67,5.28,39.77,20,742,6.51894152658244,True
43,41.67,5.28,39.77,10,222,95.83557,True
44,41.67,5.28,39.77,15,48,100.0,True
45,41.67,5.28,39.77,10,85,99.89752,True
46,41.67,5.28,39.77,15,808,5.00844,True
47,41.67,5.28,39.77,10,52,99.94177,True
48,41.67,5.28,39.77,10,708,5.87846,True
49,41.67,5.28,39.77,10,419,10.98285,True
