,C,H,O,heat_rate,T,mass_porc,biomass_EU
0,61.93,0.91,35.47,20,125.839999999998,98.7096774193549,True
1,61.93,0.91,35.47,15,699.779999999991,37.4912770411724,True
2,61.93,0.91,35.47,10,513.699999999987,50.843989769821,True
3,61.93,0.91,35.47,10,879.999999999998,20.8354646206309,True
4,61.93,0.91,35.47,10,824.199999999992,27.8260869565218,True
5,61.93,0.91,35.47,15,84.7200000000007,99.0230286113049,True
6,61.93,0.91,35.47,15,784.439999999989,23.7090020935101,True
7,61.93,0.91,35.47,15,800.759999999989,19.9406838799721,True
8,61.93,0.91,35.47,10,591.999999999985,44.842284739983,True
9,61.93,0.91,35.47,15,587.579999999993,43.17864619679,True
10,61.93,0.91,35.47,10,343.599999999991,62.6257459505541,True
11,61.93,0.91,35.47,20,491.559999999995,69.1020052310375,True
12,61.93,0.91,35.47,10,370.599999999991,59.0622335890878,True
13,61.93,0.91,35.47,20,578.479999999995,49.433304272014,True
14,61.93,0.91,35.47,15,573.299999999993,43.9462665736218,True
15,61.93,0.91,35.47,15,431.519999999996,55.5478018143755,True
16,61.93,0.91,35.47,15,709.979999999991,36.427076064201,True
17,61.93,0.91,35.47,10,435.399999999989,54.5609548167093,True
18,61.93,0.91,35.47,10,900.7,17.0673486786019,True
19,61.93,0.91,35.47,20,197.999999999998,97.4716652136007,True
20,61.93,0.91,35.47,15,594.719999999993,42.6029309141661,True
21,61.93,0.91,35.47,10,535.299999999987,49.7527706734868,True
22,61.93,0.91,35.47,15,160.200000000001,97.1563154221912,True
23,61.93,0.91,35.47,20,849.079999999994,30.462074978204,True
24,61.93,0.91,35.47,10,714.399999999982,34.9019607843137,True
25,61.93,0.91,35.47,10,72.6999999999982,98.2608695652175,True
26,61.93,0.91,35.47,20,506.319999999995,65.6669572798605,True
27,61.93,0.91,35.47,15,775.25999999999,25.4884856943475,True
28,61.93,0.91,35.47,15,508.019999999994,50.383810188416,True
29,61.93,0.91,35.47,20,201.279999999998,97.384481255449,True
30,61.93,0.91,35.47,10,221.199999999994,89.3776641091219,True
31,61.93,0.91,35.47,15,704.879999999991,37.0376831821354,True
32,61.93,0.91,35.47,10,188.799999999995,90.9121909633419,True
33,61.93,0.91,35.47,15,182.64,96.2665736217725,True
34,61.93,0.91,35.47,10,99.6999999999975,96.3000852514919,True
35,61.93,0.91,35.47,10,901.6,16.8968456947997,True
36,61.93,0.91,35.47,15,137.760000000001,97.7320307048151,True
37,61.93,0.91,35.47,20,217.679999999998,97.1403661726243,True
38,61.93,0.91,35.47,15,697.739999999991,37.5785066294487,True
39,61.93,0.91,35.47,15,268.319999999999,89.6196789951152,True
40,61.93,0.91,35.47,15,33.7200000000002,99.8255408234474,True
41,61.93,0.91,35.47,10,652.299999999984,40.306905370844,True
42,61.93,0.91,35.47,10,771.999999999987,31.4748508098892,True
43,61.93,0.91,35.47,15,794.639999999989,20.3593859036986,True
44,61.93,0.91,35.47,15,138.780000000001,97.7145847871598,True
45,61.93,0.91,35.47,10,260.799999999993,84.5012787723785,True
46,61.93,0.91,35.47,20,850.719999999994,30.357454228422,True
47,61.93,0.91,35.47,10,431.799999999989,54.9872122762149,True
48,61.93,0.91,35.47,20,43.8399999999991,99.7384481255449,True
49,61.93,0.91,35.47,20,652.279999999994,44.8299912816042,True
50,61.93,0.91,35.47,15,66.3600000000006,99.2672714584787,True
51,61.93,0.91,35.47,10,582.999999999985,45.5583972719523,True
52,61.93,0.91,35.47,20,742.479999999993,39.232781168265,True
53,61.93,0.91,35.47,10,475.899999999988,52.6342710997443,True
54,61.93,0.91,35.47,10,158.199999999996,92.5319693094629,True
55,61.93,0.91,35.47,15,239.759999999999,91.8353105373343,True
56,61.93,0.91,35.47,10,553.299999999986,48.5251491901108,True
57,61.93,0.91,35.47,15,499.859999999995,51.1339846475925,True
58,61.93,0.91,35.47,20,219.319999999998,97.1403661726243,True
59,61.93,0.91,35.47,15,420.299999999996,57.9378925331473,True
60,61.93,0.91,35.47,10,175.299999999996,91.5089514066496,True
61,61.93,0.91,35.47,15,128.580000000001,98.1856245638521,True
62,61.93,0.91,35.47,10,744.099999999984,33.4356351236146,True
63,61.93,0.91,35.47,10,636.099999999984,41.3469735720375,True
64,61.93,0.91,35.47,10,62.7999999999985,98.4995737425405,True
65,61.93,0.91,35.47,10,786.399999999988,30.7075873827792,True
66,61.93,0.91,35.47,10,888.099999999998,19.6760443307758,True
67,61.93,0.91,35.47,20,222.599999999998,97.0880557977333,True
68,61.93,0.91,35.47,15,862.979999999988,14.1486392184229,True
69,61.93,0.91,35.47,15,797.699999999989,20.3593859036986,True
70,61.93,0.91,35.47,20,642.439999999994,45.1612903225807,True
71,61.93,0.91,35.47,15,759.95999999999,27.8785764131193,True
72,61.93,0.91,35.47,20,588.319999999995,48.9450741063644,True
73,61.93,0.91,35.47,20,776.919999999993,37.3147340889277,True
74,61.93,0.91,35.47,10,757.599999999985,32.4296675191816,True
75,61.93,0.91,35.47,10,46.5999999999989,99.1304347826087,True
76,61.93,0.91,35.47,15,659.999999999992,40.1256106071179,True
77,61.93,0.91,35.47,10,63.6999999999985,98.4143222506394,True
78,61.93,0.91,35.47,20,627.679999999994,46.0331299040977,True
79,61.93,0.91,35.47,15,263.219999999999,89.7069085833915,True
80,61.93,0.91,35.47,15,655.919999999992,40.195394277739,True
81,61.93,0.91,35.47,15,897.659999999988,11.7236566643406,True
82,61.93,0.91,35.47,20,235.719999999997,96.7741935483871,True
83,61.93,0.91,35.47,15,94.9200000000008,98.7962316817865,True
84,61.93,0.91,35.47,20,332.479999999997,89.2240627724499,True
85,61.93,0.91,35.47,10,467.799999999988,52.924126172208,True
86,61.93,0.91,35.47,10,662.199999999983,39.0622335890878,True
87,61.93,0.91,35.47,20,558.799999999995,50.7759372275501,True
88,61.93,0.91,35.47,10,298.599999999992,72.7024722932651,True
89,61.93,0.91,35.47,20,471.879999999996,71.6826503923278,True
90,61.93,0.91,35.47,10,325.599999999992,64.7570332480818,True
91,61.93,0.91,35.47,15,388.679999999997,71.9993021632938,True
92,61.93,0.91,35.47,10,219.399999999995,89.4629156010231,True
93,61.93,0.91,35.47,10,251.799999999994,85.4049445865303,True
94,61.93,0.91,35.47,15,604.919999999993,42.2889043963713,True
95,61.93,0.91,35.47,10,374.199999999991,58.8746803069054,True
96,61.93,0.91,35.47,20,817.919999999993,34.5422842197035,True
97,61.93,0.91,35.47,20,140.599999999998,98.5004359197908,True
98,61.93,0.91,35.47,15,749.75999999999,29.6929518492673,True
99,61.93,0.91,35.47,15,770.15999999999,26.0816468946267,True
