,C,H,O,heat_rate,T,mass_porc,biomass_MV
0,78.78,0.82,19.91,20,537.48,35.1328191945159,True
1,78.78,0.82,19.91,10,49.0200000000019,99.4968771686329,True
2,78.78,0.82,19.91,10,208.120000000004,96.616932685635,True
3,78.78,0.82,19.91,10,573.62000000001,30.5170020818876,True
4,78.78,0.82,19.91,10,640.700000000011,28.678001387925,True
5,78.78,0.82,19.91,20,665.320000000008,24.4387317909168,True
6,78.78,0.82,19.91,10,766.260000000013,19.0839694656488,True
7,78.78,0.82,19.91,20,28.0,100.0,True
8,78.78,0.82,19.91,15,167.509999999997,98.3654009875702,True
9,78.78,0.82,19.91,20,283.679999999999,95.9897172236504,True
10,78.78,0.82,19.91,20,811.960000000016,15.9383033419023,True
11,78.78,0.82,19.91,10,735.300000000013,21.5822345593338,True
12,78.78,0.82,19.91,15,536.059999999995,36.8976672909927,True
13,78.78,0.82,19.91,20,837.340000000018,14.7557840616967,True
14,78.78,0.82,19.91,10,829.040000000014,11.4156835530881,True
15,78.78,0.82,19.91,20,566.620000000002,33.350471293916,True
16,78.78,0.82,19.91,20,896.560000000021,11.2767780634104,True
17,78.78,0.82,19.91,10,487.620000000009,44.1013185287994,True
18,78.78,0.82,19.91,15,95.6899999999977,99.404052443385,True
19,78.78,0.82,19.91,20,472.619999999999,66.9922879177378,True
20,78.78,0.82,19.91,20,502.699999999999,54.3787489288774,True
21,78.78,0.82,19.91,10,167.700000000004,97.8140180430257,True
22,78.78,0.82,19.91,10,70.5200000000022,99.2019430950729,True
23,78.78,0.82,19.91,20,797.860000000016,16.675235646958,True
24,78.78,0.82,19.91,10,479.880000000009,48.733518390007,True
25,78.78,0.82,19.91,20,59.0199999999999,99.4687232219366,True
26,78.78,0.82,19.91,20,865.540000000019,13.8131962296487,True
27,78.78,0.82,19.91,10,166.840000000004,97.8487161693269,True
28,78.78,0.82,19.91,20,757.440000000013,18.3890317052271,True
29,78.78,0.82,19.91,20,342.899999999999,90.8483290488431,True
30,78.78,0.82,19.91,10,396.460000000007,60.2185981956974,True
31,78.78,0.82,19.91,20,211.3,97.7549271636675,True
32,78.78,0.82,19.91,20,689.760000000009,23.0334190231362,True
33,78.78,0.82,19.91,10,492.780000000009,43.3032616238723,True
34,78.78,0.82,19.91,15,622.999999999994,23.0035756853397,True
35,78.78,0.82,19.91,10,234.780000000005,95.3331020124914,True
36,78.78,0.82,19.91,20,197.2,97.892030848329,True
37,78.78,0.82,19.91,15,388.639999999996,78.3585901583518,True
38,78.78,0.82,19.91,10,196.080000000004,96.9812630117974,True
39,78.78,0.82,19.91,20,492.359999999999,59.8800342759212,True
40,78.78,0.82,19.91,20,262.999999999999,96.5038560411311,True
41,78.78,0.82,19.91,10,607.160000000011,29.4240111034004,True
42,78.78,0.82,19.91,10,632.100000000011,28.9382373351839,True
43,78.78,0.82,19.91,10,712.080000000012,23.0569049271339,True
44,78.78,0.82,19.91,20,759.320000000013,18.337617823479,True
45,78.78,0.82,19.91,10,657.040000000012,28.088133240805,True
46,78.78,0.82,19.91,10,599.420000000011,29.7189451769605,True
47,78.78,0.82,19.91,20,325.979999999999,93.2133676092545,True
48,78.78,0.82,19.91,20,415.279999999999,79.4687232219366,True
49,78.78,0.82,19.91,20,115.42,98.8860325621251,True
50,78.78,0.82,19.91,20,421.859999999999,77.4464438731791,True
51,78.78,0.82,19.91,10,844.520000000012,10.0798056904927,True
52,78.78,0.82,19.91,20,109.78,98.9374464438732,True
53,78.78,0.82,19.91,20,435.959999999999,74.5844044558698,True
54,78.78,0.82,19.91,15,692.929999999995,16.2949089051592,True
55,78.78,0.82,19.91,10,706.060000000012,23.1609993060375,True
56,78.78,0.82,19.91,20,803.500000000016,16.3496143958869,True
57,78.78,0.82,19.91,10,446.340000000008,52.7238029146426,True
58,78.78,0.82,19.91,15,596.539999999994,24.0081729950621,True
59,78.78,0.82,19.91,20,823.240000000017,15.4755784061696,True
60,78.78,0.82,19.91,20,834.520000000018,14.7557840616967,True
61,78.78,0.82,19.91,20,548.760000000001,34.1559554413025,True
62,78.78,0.82,19.91,20,65.5999999999999,99.3830334190231,True
63,78.78,0.82,19.91,20,441.599999999999,74.070265638389,True
64,78.78,0.82,19.91,15,265.789999999997,93.2743061467734,True
65,78.78,0.82,19.91,10,327.660000000006,80.9333795975017,True
66,78.78,0.82,19.91,20,531.84,35.9897172236503,True
67,78.78,0.82,19.91,10,436.020000000008,54.823039555864,True
68,78.78,0.82,19.91,20,119.18,98.8688946015424,True
69,78.78,0.82,19.91,10,432.580000000008,55.0832755031229,True
70,78.78,0.82,19.91,10,680.260000000012,26.8390006939625,True
71,78.78,0.82,19.91,20,791.280000000015,16.8637532133676,True
72,78.78,0.82,19.91,20,456.639999999999,71.5167095115681,True
73,78.78,0.82,19.91,20,882.46000000002,12.9905741216795,True
74,78.78,0.82,19.91,20,171.82,98.2347900599828,True
75,78.78,0.82,19.91,15,849.800000000003,6.30001702707306,True
76,78.78,0.82,19.91,20,377.679999999999,86.5295629820051,True
77,78.78,0.82,19.91,15,738.289999999997,14.0643623361144,True
78,78.78,0.82,19.91,15,237.439999999997,94.6024178443725,True
79,78.78,0.82,19.91,10,185.760000000004,97.3108952116586,True
80,78.78,0.82,19.91,20,504.579999999999,52.7677806341046,True
81,78.78,0.82,19.91,15,358.399999999996,84.318065724502,True
82,78.78,0.82,19.91,10,388.720000000007,61.2421929215822,True
83,78.78,0.82,19.91,10,847.960000000011,9.7154753643303,True
84,78.78,0.82,19.91,20,343.839999999999,90.8311910882605,True
85,78.78,0.82,19.91,15,190.189999999997,97.7694534309552,True
86,78.78,0.82,19.91,10,801.520000000014,14.9375433726579,True
87,78.78,0.82,19.91,10,439.460000000008,54.2331714087439,True
88,78.78,0.82,19.91,20,821.360000000017,15.5784061696658,True
89,78.78,0.82,19.91,20,372.979999999999,87.5407026563839,True
90,78.78,0.82,19.91,20,590.120000000003,31.9794344473008,True
