,C,H,O,heat_rate,T,mass_porc,biomass_OP
0,52.79,2.57,42.75,5,21.236,22.435749015976,True
1,52.79,2.57,42.75,5,20.396,2.98680250057887,True
2,52.79,2.57,42.75,10,20.581,4.50191570881224,True
3,52.79,2.57,42.75,5,23.676,78.7219263718454,True
4,52.79,2.57,42.75,5,20.557,6.71451724936326,True
5,52.79,2.57,42.75,5,22.982,62.7691595276685,True
6,52.79,2.57,42.75,5,20.487,5.0937717064135,True
7,52.79,2.57,42.75,10,24.344,94.6120689655173,True
8,52.79,2.57,42.75,5,24.574,99.722157906923,True
9,52.79,2.57,42.75,5,24.584,99.9536929844872,True
10,52.79,2.57,42.75,15,21.067,8.58239649026594,True
11,52.79,2.57,42.75,5,24.479,97.4994211623062,True
12,52.79,2.57,42.75,15,20.799,1.23389086920752,True
13,52.79,2.57,42.75,15,20.897,3.92103098437064,True
14,52.79,2.57,42.75,5,24.583,99.9305394767307,True
15,52.79,2.57,42.75,5,20.528,6.01991201667056,True
16,52.79,2.57,42.75,5,20.746,11.0905302153276,True
17,52.79,2.57,42.75,5,20.565,6.89974531141472,True
18,52.79,2.57,42.75,10,21.009,14.7509578544061,True
19,52.79,2.57,42.75,10,20.845,10.823754789272,True
20,52.79,2.57,42.75,15,20.8,1.23389086920752,True
21,52.79,2.57,42.75,10,20.88,11.661877394636,True
22,52.79,2.57,42.75,5,24.575,99.7453114146793,True
23,52.79,2.57,42.75,5,20.572,7.06181986570965,True
24,52.79,2.57,42.75,5,20.335,1.57443852743694,True
25,52.79,2.57,42.75,5,21.487,28.2472794628386,True
26,52.79,2.57,42.75,10,22.485,50.095785440613,True
27,52.79,2.57,42.75,5,20.356,2.03750868256543,True
28,52.79,2.57,42.75,5,21.194,21.3938411669368,True
29,52.79,2.57,42.75,10,20.517,2.9693486590038,True
30,52.79,2.57,42.75,5,21.439,27.1359110905302,True
31,52.79,2.57,42.75,10,24.557,99.712643678161,True
32,52.79,2.57,42.75,10,24.288,93.2710727969349,True
33,52.79,2.57,42.75,5,20.446,4.14447788840014,True
34,52.79,2.57,42.75,10,23.306,69.7557471264368,True
35,52.79,2.57,42.75,5,24.376,95.1377633711508,True
36,52.79,2.57,42.75,10,21.269,20.9770114942528,True
37,52.79,2.57,42.75,5,24.577,99.7916184301923,True
38,52.79,2.57,42.75,15,20.842,2.41294214422806,True
39,52.79,2.57,42.75,5,23.901,84.1398471868488,True
40,52.79,2.57,42.75,5,20.743,11.0210696920583,True
41,52.79,2.57,42.75,15,24.375,99.287085275569,True
42,52.79,2.57,42.75,15,20.902,4.03071017274468,True
43,52.79,2.57,42.75,10,20.521,3.06513409961686,True
44,52.79,2.57,42.75,5,20.991,16.6473720768697,True
45,52.79,2.57,42.75,15,21.002,6.80010967918831,True
46,52.79,2.57,42.75,5,21.526,29.1502662653392,True
47,52.79,2.57,42.75,5,20.549,6.52928918731188,True
48,52.79,2.57,42.75,5,20.425,3.6582542255152,True
49,52.79,2.57,42.75,10,20.765,8.9080459770115,True
50,52.79,2.57,42.75,5,20.286,0.439916647372121,True
51,52.79,2.57,42.75,5,21.212,21.8569113220653,True
52,52.79,2.57,42.75,5,24.404,95.7860615883307,True
53,52.79,2.57,42.75,5,20.446,4.14447788840014,True
54,52.79,2.57,42.75,5,20.453,4.30655244269507,True
55,52.79,2.57,42.75,5,21.439,27.1127575827738,True
56,52.79,2.57,42.75,5,20.408,3.26464459365598,True
57,52.79,2.57,42.75,15,21.03,7.56786399780641,True
58,52.79,2.57,42.75,10,22.052,39.7270114942529,True
59,52.79,2.57,42.75,15,20.97,5.92267617219626,True
60,52.79,2.57,42.75,10,21.745,32.3754789272031,True
61,52.79,2.57,42.75,5,20.464,4.53808752025936,True
62,52.79,2.57,42.75,5,24.326,93.9800879833295,True
63,52.79,2.57,42.75,5,20.729,10.6969205834684,True
64,52.79,2.57,42.75,5,20.633,8.47418383885158,True
65,52.79,2.57,42.75,5,21.261,22.9914332021302,True
66,52.79,2.57,42.75,10,20.498,2.51436781609188,True
67,52.79,2.57,42.75,15,24.391,99.725802029065,True
68,52.79,2.57,42.75,10,20.613,5.26819923371645,True
69,52.79,2.57,42.75,10,24.473,97.7011494252874,True
70,52.79,2.57,42.75,5,24.566,99.5369298448715,True
71,52.79,2.57,42.75,15,20.8,1.26131066630105,True
72,52.79,2.57,42.75,5,20.506,5.53368835378562,True
73,52.79,2.57,42.75,15,20.947,5.23718124485876,True
74,52.79,2.57,42.75,10,24.345,94.6360153256706,True
75,52.79,2.57,42.75,5,20.408,3.24149108589953,True
76,52.79,2.57,42.75,15,24.31,97.4773786673979,True
77,52.79,2.57,42.75,15,24.249,95.8321908417878,True
78,52.79,2.57,42.75,15,24.367,99.0403071017274,True
79,52.79,2.57,42.75,15,21.077,8.856594461201,True
80,52.79,2.57,42.75,10,20.674,6.72892720306511,True
81,52.79,2.57,42.75,10,24.312,93.8457854406131,True
82,52.79,2.57,42.75,5,21.638,31.6508451030331,True
83,52.79,2.57,42.75,5,24.371,95.0219958323686,True
84,52.79,2.57,42.75,10,24.288,93.2710727969349,True
85,52.79,2.57,42.75,10,21.175,18.7260536398467,True
86,52.79,2.57,42.75,5,20.687,9.65501273442931,True
87,52.79,2.57,42.75,5,20.423,3.61194721000229,True
88,52.79,2.57,42.75,5,21.054,18.1986570965502,True
89,52.79,2.57,42.75,5,20.35,1.89858763602688,True
90,52.79,2.57,42.75,15,24.367,99.067726898821,True
