,C,H,O,heat_rate,T,mass_porc,biomass_OU
0,75.63,0.79,22.14,10,266.299999999999,86.7300380228137,True
1,75.63,0.79,22.14,10,689.119999999997,21.9961977186312,True
2,75.63,0.79,22.14,15,506.179999999993,50.8243435782618,True
3,75.63,0.79,22.14,15,875.389999999979,22.694891105231,True
4,75.63,0.79,22.14,15,131.390000000002,96.9265214736414,True
5,75.63,0.79,22.14,20,66.6800000000003,99.2102294095525,True
6,75.63,0.79,22.14,10,827.899999999987,16.1596958174905,True
7,75.63,0.79,22.14,15,39.3200000000013,99.7964583757378,True
8,75.63,0.79,22.14,10,745.819999999993,19.9429657794677,True
9,75.63,0.79,22.14,20,174.32,94.5092139902219,True
10,75.63,0.79,22.14,20,216.44,92.3467468973298,True
11,75.63,0.79,22.14,10,125.360000000001,93.6882129277566,True
12,75.63,0.79,22.14,10,634.58,24.638783269962,True
13,75.63,0.79,22.14,15,35.6000000000012,99.8575208630165,True
14,75.63,0.79,22.14,20,760.879999999985,34.9943587814968,True
15,75.63,0.79,22.14,10,854.359999999985,14.2015209125475,True
16,75.63,0.79,22.14,15,285.770000000003,90.3928353348259,True
17,75.63,0.79,22.14,15,756.349999999979,29.2692855688988,True
18,75.63,0.79,22.14,10,850.039999999986,14.3916349809886,True
19,75.63,0.79,22.14,20,743.719999999986,35.6148928168485,True
20,75.63,0.79,22.14,10,269.539999999999,86.615969581749,True
21,75.63,0.79,22.14,15,361.100000000001,81.92550376552,True
22,75.63,0.79,22.14,20,559.639999999992,43.9827002632569,True
23,75.63,0.79,22.14,15,343.430000000002,84.3883574190922,True
24,75.63,0.79,22.14,10,213.379999999999,89.6007604562738,True
25,75.63,0.79,22.14,10,535.760000000007,30.1711026615969,True
26,75.63,0.79,22.14,10,418.040000000005,47.2053231939164,True
27,75.63,0.79,22.14,15,798.199999999977,26.7657235904743,True
28,75.63,0.79,22.14,15,777.739999999978,28.0480358233259,True
29,75.63,0.79,22.14,10,322.460000000001,78.93536121673,True
30,75.63,0.79,22.14,10,574.100000000004,27.148288973384,True
31,75.63,0.79,22.14,20,232.040000000001,91.7638209853329,True
32,75.63,0.79,22.14,10,533.600000000007,30.2851711026616,True
33,75.63,0.79,22.14,10,557.900000000005,27.9847908745247,True
34,75.63,0.79,22.14,15,853.999999999978,23.7940158762467,True
35,75.63,0.79,22.14,10,615.680000000002,25.1520912547528,True
36,75.63,0.79,22.14,10,155.6,92.9657794676806,True
37,75.63,0.79,22.14,15,574.999999999989,43.3950742926929,True
38,75.63,0.79,22.14,10,708.019999999995,21.3498098859316,True
39,75.63,0.79,22.14,20,146.24,95.0545317788643,True
40,75.63,0.79,22.14,10,683.719999999997,22.2433460076046,True
41,75.63,0.79,22.14,10,109.16,94.0494296577946,True
42,75.63,0.79,22.14,15,481.069999999994,54.0606554040301,True
43,75.63,0.79,22.14,15,854.929999999978,23.7533075513943,True
44,75.63,0.79,22.14,10,838.699999999987,15.3231939163498,True
45,75.63,0.79,22.14,10,253.339999999999,87.1863117870722,True
46,75.63,0.79,22.14,20,774.919999999984,34.2233922527266,True
