,C,H,O,heat_rate,T,mass_porc,biomass_PP
0,48.95,1.38,48.41,10,521.200000000015,15.4372623574145,True
1,48.95,1.38,48.41,5,92.3000000000024,99.1955163444263,True
2,48.95,1.38,48.41,5,449.047,20.5438309511679,True
3,48.95,1.38,48.41,5,521.462999999997,14.6711002654796,True
4,48.95,1.38,48.41,10,471.400000000013,19.2648922686946,True
5,48.95,1.38,48.41,5,336.951000000001,26.6579067335282,True
6,48.95,1.38,48.41,10,351.400000000009,29.6577946768061,True
7,48.95,1.38,48.41,10,304.600000000007,57.5411913814956,True
8,48.95,1.38,48.41,15,556.504190000015,6.48546824542518,True
9,48.95,1.38,48.41,5,38.3000000000003,99.8122871470329,True
10,48.95,1.38,48.41,5,59.3000000000011,99.4904936848034,True
11,48.95,1.38,48.41,5,207.200000000007,95.3876270413774,True
12,48.95,1.38,48.41,10,102.399999999999,97.490494296578,True
13,48.95,1.38,48.41,5,782.290999999987,3.5424096967097,True
14,48.95,1.38,48.41,5,169.400000000005,96.8625137432625,True
15,48.95,1.38,48.41,5,878.490999999984,0.0429057949640229,True
16,48.95,1.38,48.41,10,280.000000000006,67.7059569074779,True
17,48.95,1.38,48.41,15,98.5825700000017,97.0667384284177,True
18,48.95,1.38,48.41,5,141.500000000004,98.3642165670001,True
19,48.95,1.38,48.41,10,83.1999999999985,98.149556400507,True
20,48.95,1.38,48.41,5,701.01499999999,7.00168941567668,True
21,48.95,1.38,48.41,5,875.890999999984,0.0482690193345019,True
22,48.95,1.38,48.41,5,254.675000000009,64.2809256925264,True
23,48.95,1.38,48.41,5,685.142999999991,7.43074736531605,True
24,48.95,1.38,48.41,10,590.200000000018,11.533586818758,True
25,48.95,1.38,48.41,10,668.580000000017,9.17617237008877,True
26,48.95,1.38,48.41,10,550.000000000016,13.8656527249683,True
27,48.95,1.38,48.41,10,190.000000000003,93.6628643852979,True
28,48.95,1.38,48.41,15,373.53123500001,17.411194833154,True
29,48.95,1.38,48.41,10,270.400000000006,75.4119138149557,True
30,48.95,1.38,48.41,10,334.000000000008,35.9442332065907,True
31,48.95,1.38,48.41,10,226.600000000004,90.6717363751585,True
32,48.95,1.38,48.41,5,181.100000000006,96.4334557936231,True
33,48.95,1.38,48.41,5,856.390999999984,0.512187927381987,True
34,48.95,1.38,48.41,15,215.019905000005,92.0882669537137,True
35,48.95,1.38,48.41,15,155.333540000003,94.6178686759957,True
36,48.95,1.38,48.41,10,421.000000000011,22.6362484157161,True
37,48.95,1.38,48.41,15,68.2501550000009,98.4122712594187,True
38,48.95,1.38,48.41,10,410.800000000011,23.1178707224335,True
39,48.95,1.38,48.41,5,155.600000000005,97.5865490332788,True
40,48.95,1.38,48.41,10,269.800000000006,75.9695817490494,True
41,48.95,1.38,48.41,5,57.800000000001,99.5173098066558,True
42,48.95,1.38,48.41,15,263.943155000007,86.9483315392896,True
43,48.95,1.38,48.41,5,161.000000000005,97.3452039366068,True
44,48.95,1.38,48.41,5,551.222999999996,13.3302941728567,True
45,48.95,1.38,48.41,15,555.525725000015,6.51237890204523,True
46,48.95,1.38,48.41,10,437.200000000012,21.7490494296578,True
47,48.95,1.38,48.41,5,528.406999999997,14.4297551688075,True
48,48.95,1.38,48.41,10,289.600000000006,63.0418250950571,True
49,48.95,1.38,48.41,5,812.190999999986,2.71110991928354,True
50,48.95,1.38,48.41,10,223.000000000004,91.254752851711,True
51,48.95,1.38,48.41,5,569.078999999995,12.7671556139552,True
52,48.95,1.38,48.41,5,61.4000000000011,99.4636775629509,True
53,48.95,1.38,48.41,10,545.200000000016,14.1191381495565,True
54,48.95,1.38,48.41,10,201.400000000003,92.851711026616,True
55,48.95,1.38,48.41,10,37.5999999999987,99.8479087452471,True
56,48.95,1.38,48.41,5,884.990999999983,0.0294977340378253,True
57,48.95,1.38,48.41,15,206.213720000005,92.3035522066738,True
58,48.95,1.38,48.41,5,744.662999999988,5.28545761711939,True
59,48.95,1.38,48.41,15,270.792410000007,84.2303552206674,True
60,48.95,1.38,48.41,10,538.600000000016,14.6007604562738,True
61,48.95,1.38,48.41,5,597.846999999994,10.9972915716929,True
62,48.95,1.38,48.41,5,32.0,99.8391032688853,True
63,48.95,1.38,48.41,5,227.900000000007,89.5417124775416,True
64,48.95,1.38,48.41,10,117.4,97.0088719898606,True
65,48.95,1.38,48.41,5,221.000000000007,94.6367756295085,True
66,48.95,1.38,48.41,5,185.300000000006,96.2725590625084,True
67,48.95,1.38,48.41,10,249.400000000005,85.2724968314322,True
68,48.95,1.38,48.41,10,178.000000000002,94.6261089987326,True
69,48.95,1.38,48.41,15,170.010515000004,93.9451022604951,True
70,48.95,1.38,48.41,5,505.590999999998,16.0119063581025,True
71,48.95,1.38,48.41,5,774.422999999987,3.99828376820146,True
72,48.95,1.38,48.41,10,792.160000000014,4.81622306717367,True
73,48.95,1.38,48.41,5,183.200000000006,96.4066396717708,True
74,48.95,1.38,48.41,10,205.000000000003,92.6742712294044,True
75,48.95,1.38,48.41,5,57.200000000001,99.5173098066558,True
76,48.95,1.38,48.41,10,176.800000000002,94.7782002534854,True
77,48.95,1.38,48.41,5,93.2000000000023,99.1955163444263,True
78,48.95,1.38,48.41,10,318.400000000007,50.8491761723701,True
79,48.95,1.38,48.41,5,703.99099999999,6.76034431900465,True
80,48.95,1.38,48.41,10,663.570000000017,9.20152091254752,True
81,48.95,1.38,48.41,5,29.5999999999999,99.8659193907377,True
82,48.95,1.38,48.41,5,185.600000000006,96.2725590625084,True
83,48.95,1.38,48.41,10,78.9999999999984,98.3523447401775,True
84,48.95,1.38,48.41,5,186.800000000006,96.192110696951,True
85,48.95,1.38,48.41,5,374.647000000002,25.0757555442333,True
86,48.95,1.38,48.41,5,367.703000000002,25.3171006409054,True
87,48.95,1.38,48.41,5,131.600000000004,98.7128261510821,True
88,48.95,1.38,48.41,5,506.582999999998,15.4219516773484,True
89,48.95,1.38,48.41,15,729.346175000018,0.161463939720135,True
90,48.95,1.38,48.41,10,90.3999999999987,97.9467680608365,True
91,48.95,1.38,48.41,10,392.20000000001,24.6134347275032,True
92,48.95,1.38,48.41,10,118.0,96.9835234474018,True
93,48.95,1.38,48.41,10,356.200000000009,28.7705956907478,True
94,48.95,1.38,48.41,5,175.400000000005,96.6748008902953,True
95,48.95,1.38,48.41,5,671.254999999991,8.04751816792257,True
96,48.95,1.38,48.41,5,41.9000000000004,99.7318387814755,True
97,48.95,1.38,48.41,5,459.958999999999,19.498002198922,True
98,48.95,1.38,48.41,5,284.150000000012,30.573060523987,True
99,48.95,1.38,48.41,5,625.622999999993,9.57603711351262,True
100,48.95,1.38,48.41,15,517.365590000014,8.96124865446722,True
101,48.95,1.38,48.41,10,84.3999999999985,98.1242078580482,True
102,48.95,1.38,48.41,10,164.800000000002,94.9556400506971,True
103,48.95,1.38,48.41,5,46.7000000000006,99.6513904159181,True
104,48.95,1.38,48.41,10,498.400000000014,17.2877059569075,True
105,48.95,1.38,48.41,5,51.2000000000007,99.6245742940656,True
106,48.95,1.38,48.41,10,461.200000000013,20.0760456273765,True
107,48.95,1.38,48.41,5,170.300000000005,96.8088814995575,True
108,48.95,1.38,48.41,15,393.10053500001,16.173304628633,True
109,48.95,1.38,48.41,5,276.275000000011,33.4423855622,True
110,48.95,1.38,48.41,5,61.1000000000012,99.4636775629509,True
111,48.95,1.38,48.41,5,767.478999999988,4.37370947413585,True
112,48.95,1.38,48.41,5,263.22500000001,54.010351023035,True
113,48.95,1.38,48.41,15,459.636155000012,11.3024757804091,True
114,48.95,1.38,48.41,5,84.800000000002,99.3027808318361,True
115,48.95,1.38,48.41,10,271.600000000006,74.5247148288974,True
116,48.95,1.38,48.41,10,25.5999999999988,100.0,True
117,48.95,1.38,48.41,5,252.425000000008,67.364779705559,True
118,48.95,1.38,48.41,5,497.654999999998,16.4945965514468,True
119,48.95,1.38,48.41,5,188.600000000006,96.192110696951,True
120,48.95,1.38,48.41,15,46.7239250000002,99.3272335844995,True
121,48.95,1.38,48.41,15,247.309250000006,89.6124865446717,True
122,48.95,1.38,48.41,10,264.400000000005,79.0874524714829,True
123,48.95,1.38,48.41,10,507.400000000015,16.6539923954373,True
124,48.95,1.38,48.41,10,108.399999999999,97.2623574144487,True
125,48.95,1.38,48.41,5,73.7000000000016,99.3832291973935,True
126,48.95,1.38,48.41,5,77.9000000000018,99.3564130755411,True
127,48.95,1.38,48.41,10,181.600000000002,94.5247148288974,True
128,48.95,1.38,48.41,15,533.021030000014,8.23466092572661,True
129,48.95,1.38,48.41,10,334.600000000008,35.4879594423321,True
130,48.95,1.38,48.41,5,56.6000000000009,99.5173098066558,True
131,48.95,1.38,48.41,15,127.936520000003,95.7750269106566,True
132,48.95,1.38,48.41,5,236.000000000008,85.760639296345,True
133,48.95,1.38,48.41,5,223.100000000007,94.5026950202462,True
134,48.95,1.38,48.41,5,150.500000000005,97.8547102518034,True
135,48.95,1.38,48.41,5,693.07899999999,7.24303451234881,True
136,48.95,1.38,48.41,10,268.600000000006,76.4005069708493,True
137,48.95,1.38,48.41,5,311.159000000001,28.7495642380199,True
138,48.95,1.38,48.41,10,114.4,97.084917617237,True
139,48.95,1.38,48.41,15,518.344055000014,8.96124865446722,True
140,48.95,1.38,48.41,5,209.000000000007,95.30717867582,True
141,48.95,1.38,48.41,5,517.494999999997,14.8588131184469,True
142,48.95,1.38,48.41,5,823.890999999986,1.90662626370978,True
143,48.95,1.38,48.41,5,190.400000000006,96.1116623313936,True
144,48.95,1.38,48.41,5,277.175000000011,33.2814888310852,True
145,48.95,1.38,48.41,5,220.700000000007,94.6367756295085,True
146,48.95,1.38,48.41,5,207.800000000007,95.3608109195249,True
147,48.95,1.38,48.41,5,181.400000000006,96.4334557936231,True
148,48.95,1.38,48.41,15,718.006175000018,0.484391819160406,True
149,48.95,1.38,48.41,10,173.800000000002,94.828897338403,True
150,48.95,1.38,48.41,5,219.500000000007,94.7172239950659,True
151,48.95,1.38,48.41,15,504.645545000014,9.60710441334776,True
152,48.95,1.38,48.41,15,647.501435000018,2.85252960172233,True
153,48.95,1.38,48.41,10,540.400000000016,14.4993662864386,True
154,48.95,1.38,48.41,15,131.850380000003,95.6942949407966,True
155,48.95,1.38,48.41,10,100.599999999999,97.5665399239544,True
156,48.95,1.38,48.41,5,221.300000000007,94.5563272639511,True
157,48.95,1.38,48.41,10,149.200000000001,95.5133079847909,True
158,48.95,1.38,48.41,5,68.3000000000014,99.410045319246,True
159,48.95,1.38,48.41,10,514.600000000015,15.9949302915082,True
160,48.95,1.38,48.41,15,509.537870000014,9.3379978471475,True
161,48.95,1.38,48.41,5,657.366999999992,8.58384060497171,True
162,48.95,1.38,48.41,10,595.600000000018,11.128010139417,True
163,48.95,1.38,48.41,10,187.600000000002,94.1444866920153,True
164,48.95,1.38,48.41,5,323.063000000001,27.8646322168888,True
165,48.95,1.38,48.41,5,515.510999999997,15.0197098495616,True
166,48.95,1.38,48.41,5,89.3000000000022,99.2491485881312,True
167,48.95,1.38,48.41,15,407.777510000011,15.5274488697525,True
168,48.95,1.38,48.41,5,153.800000000005,97.7206296425412,True
169,48.95,1.38,48.41,5,440.119,20.8656244133974,True
170,48.95,1.38,48.41,15,667.070735000018,2.36813778256192,True
171,48.95,1.38,48.41,10,28.5999999999987,99.9239543726236,True
172,48.95,1.38,48.41,5,94.4000000000024,99.1687002225739,True
173,48.95,1.38,48.41,15,646.522970000018,2.85252960172233,True
174,48.95,1.38,48.41,5,71.9000000000016,99.3832291973935,True
175,48.95,1.38,48.41,10,740.390000000015,6.97084917617242,True
176,48.95,1.38,48.41,15,125.979590000003,95.8288482238966,True
177,48.95,1.38,48.41,5,543.286999999996,13.812984366201,True
178,48.95,1.38,48.41,10,417.400000000011,22.7376425855514,True
179,48.95,1.38,48.41,10,244.000000000005,87.02154626109,True
180,48.95,1.38,48.41,10,110.8,97.1356147021546,True
181,48.95,1.38,48.41,10,174.400000000002,94.8035487959443,True
182,48.95,1.38,48.41,15,499.753220000013,9.74165769644784,True
183,48.95,1.38,48.41,5,256.250000000009,61.1970716794937,True
184,48.95,1.38,48.41,5,275.375000000011,33.790995146282,True
185,48.95,1.38,48.41,10,720.350000000016,7.52851711026617,True
186,48.95,1.38,48.41,5,273.575000000011,34.380949827036,True
187,48.95,1.38,48.41,15,146.527355000003,95.0753498385361,True
188,48.95,1.38,48.41,5,389.527000000002,24.0567429138399,True
189,48.95,1.38,48.41,5,161.600000000005,97.2647555710494,True
190,48.95,1.38,48.41,10,290.800000000006,62.8390367553866,True
