,C,H,O,heat_rate,T,mass_porc,biomass_SD
0,44.71,1.48,49.33,10,430.311111111101,14.1480508103373,True
1,44.71,1.48,49.33,10,691.377777777762,5.78186596583449,True
2,44.71,1.48,49.33,15,785.81538461537,2.57179597085307,True
3,44.71,1.48,49.33,5,72.0258413461538,96.9265033407571,True
4,44.71,1.48,49.33,15,156.784615384616,93.7419631375911,True
5,44.71,1.48,49.33,5,214.408653846154,89.9331848552337,True
6,44.71,1.48,49.33,10,775.762962962943,3.63556723609294,True
7,44.71,1.48,49.33,15,738.61538461538,4.88641234462069,True
8,44.71,1.48,49.33,5,386.674278846154,18.7082405345211,True
9,44.71,1.48,49.33,15,46.0461538461552,98.6283754822118,True
10,44.71,1.48,49.33,10,624.133333333319,7.57774857643459,True
11,44.71,1.48,49.33,10,849.59999999998,1.75208059570736,True
12,44.71,1.48,49.33,5,442.163028846154,14.2093541202644,True
13,44.71,1.48,49.33,5,576.973028846155,8.19599109131407,True
14,44.71,1.48,49.33,10,676.214814814799,6.17608409986867,True
15,44.71,1.48,49.33,5,303.353966346154,55.6347438752783,True
16,44.71,1.48,49.33,5,364.174278846154,30.7795100222717,True
17,44.71,1.48,49.33,5,393.705528846154,17.5946547884187,True
18,44.71,1.48,49.33,15,737.70769230768,4.88641234462069,True
19,44.71,1.48,49.33,10,779.718518518498,3.54796320630747,True
20,44.71,1.48,49.33,15,404.584615384612,18.0454350621517,True
21,44.71,1.48,49.33,5,286.478966346154,68.5077951002227,True
22,44.71,1.48,49.33,10,477.777777777767,11.4323258869908,True
23,44.71,1.48,49.33,15,292.030769230767,72.6103729104157,True
24,44.71,1.48,49.33,5,258.705528846154,85.4342984409799,True
25,44.71,1.48,49.33,15,135.000000000001,94.5992284612087,True
26,44.71,1.48,49.33,15,795.79999999999,2.57179597085307,True
27,44.71,1.48,49.33,5,407.416466346154,16.5701559020044,True
28,44.71,1.48,49.33,10,454.703703703693,12.2207621550591,True
29,44.71,1.48,49.33,15,105.046153846155,95.4136305186454,True
30,44.71,1.48,49.33,10,603.696296296282,7.97196671046862,True
31,44.71,1.48,49.33,10,587.87407407406,8.45378887428827,True
32,44.71,1.48,49.33,5,636.448028846155,7.48329621380843,True
33,44.71,1.48,49.33,5,37.2211538461539,99.554565701559,True
34,44.71,1.48,49.33,15,491.723076923072,13.3733390484355,True
35,44.71,1.48,49.33,10,328.785185185178,49.6714848883049,True
36,44.71,1.48,49.33,15,338.323076923074,39.948564080583,True
37,44.71,1.48,49.33,10,378.88888888888,18.7472623740692,True
38,44.71,1.48,49.33,5,753.81202884616,5.79064587973269,True
39,44.71,1.48,49.33,15,144.984615384616,94.2563223317617,True
40,44.71,1.48,49.33,15,439.984615384611,15.8165452207458,True
41,44.71,1.48,49.33,10,581.281481481468,8.67279894875166,True
42,44.71,1.48,49.33,10,700.607407407391,5.60665790626369,True
43,44.71,1.48,49.33,5,354.682091346154,33.0957683741647,True
44,44.71,1.48,49.33,15,726.81538461538,5.22931847406771,True
45,44.71,1.48,49.33,10,645.229629629615,7.00832238282961,True
46,44.71,1.48,49.33,5,379.643028846154,22.71714922049,True
47,44.71,1.48,49.33,10,310.325925925919,58.694699956198,True
48,44.71,1.48,49.33,10,892.45185185182,0.306614104248859,True
49,44.71,1.48,49.33,10,897.7259259259,0.13140604467806,True
50,44.71,1.48,49.33,5,898.13802884619,0.133630289532299,True
51,44.71,1.48,49.33,15,190.36923076923,92.2846120874411,True
52,44.71,1.48,49.33,10,481.733333333322,11.3885238720982,True
53,44.71,1.48,49.33,15,698.676923076915,5.87226746678098,True
54,44.71,1.48,49.33,10,692.037037037021,5.78186596583449,True
55,44.71,1.48,49.33,5,283.666466346154,71.6258351893096,True
56,44.71,1.48,49.33,5,212.299278846154,90.066815144766,True
57,44.71,1.48,49.33,10,735.548148148131,4.51160753394663,True
58,44.71,1.48,49.33,5,152.533653846154,93.8975501113586,True
59,44.71,1.48,49.33,15,99.600000000001,95.970852978997,True
60,44.71,1.48,49.33,5,118.432091346154,94.7884187082405,True
61,44.71,1.48,49.33,10,111.229629629627,96.5834428383706,True
62,44.71,1.48,49.33,10,582.599999999986,8.67279894875166,True
63,44.71,1.48,49.33,5,332.885216346154,40.8463251670379,True
64,44.71,1.48,49.33,10,75.6296296296279,97.8098992553657,True
65,44.71,1.48,49.33,5,29.1352163461539,99.8663697104677,True
66,44.71,1.48,49.33,5,592.040028846155,8.06236080178178,True
67,44.71,1.48,49.33,5,188.041466346154,91.9821826280624,True
68,44.71,1.48,49.33,10,752.68888888887,4.11738939991245,True
69,44.71,1.48,49.33,10,150.125925925923,95.4883924660534,True
70,44.71,1.48,49.33,15,890.19999999999,0.514359194170615,True
71,44.71,1.48,49.33,5,197.182091346154,91.0913140311803,True
72,44.71,1.48,49.33,5,96.2836538461538,95.4120267260578,True
73,44.71,1.48,49.33,5,31.5961538461539,99.7772828507794,True
74,44.71,1.48,49.33,10,514.037037037025,10.3810775295664,True
75,44.71,1.48,49.33,10,411.192592592583,14.8488830486202,True
76,44.71,1.48,49.33,10,662.370370370355,6.43889618922463,True
77,44.71,1.48,49.33,10,554.251851851839,9.32982917214196,True
78,44.71,1.48,49.33,10,768.511111111091,3.72317126587827,True
79,44.71,1.48,49.33,5,251.322716346154,86.4587973273941,True
80,44.71,1.48,49.33,15,427.276923076919,16.5880840120017,True
81,44.71,1.48,49.33,5,25.6195913461539,100.0,True
82,44.71,1.48,49.33,5,310.385216346154,50.7795100222717,True
83,44.71,1.48,49.33,15,352.846153846151,33.1333047578225,True
84,44.71,1.48,49.33,5,817.25202884617,3.25167037861917,True
85,44.71,1.48,49.33,10,494.259259259248,10.994305738064,True
86,44.71,1.48,49.33,5,368.393028846154,28.15144766147,True
87,44.71,1.48,49.33,15,393.692307692304,20.3171881697385,True
88,44.71,1.48,49.33,10,576.007407407394,8.80420499342972,True
89,44.71,1.48,49.33,5,363.471153846154,30.9576837416481,True
90,44.71,1.48,49.33,10,277.362962962957,71.7477003942182,True
91,44.71,1.48,49.33,10,564.140740740728,9.15462111257116,True
92,44.71,1.48,49.33,10,463.933333333323,11.8703460359177,True
93,44.71,1.48,49.33,15,522.58461538461,11.8302614659237,True
94,44.71,1.48,49.33,10,199.570370370366,93.4296977660972,True
95,44.71,1.48,49.33,5,130.385216346154,94.4766146993318,True
96,44.71,1.48,49.33,5,93.1195913461538,95.5902004454343,True
97,44.71,1.48,49.33,5,879.10602884618,0.801781737193794,True
98,44.71,1.48,49.33,5,371.557091346154,27.0378619153674,True
99,44.71,1.48,49.33,15,535.292307692302,11.2730390055723,True
100,44.71,1.48,49.33,10,826.5259259259,2.2777047744196,True
101,44.71,1.48,49.33,5,339.564903846154,38.2182628062361,True
102,44.71,1.48,49.33,5,651.515028846155,7.21603563474383,True
103,44.71,1.48,49.33,5,45.6586538461538,99.1982182628062,True
104,44.71,1.48,49.33,10,704.562962962947,5.38764783180031,True
105,44.71,1.48,49.33,5,64.9945913461538,97.8619153674832,True
106,44.71,1.48,49.33,5,292.455528846154,64.4097995545657,True
107,44.71,1.48,49.33,15,647.846153846147,7.45820831547361,True
108,44.71,1.48,49.33,10,499.533333333322,10.7752956636005,True
109,44.71,1.48,49.33,10,274.72592592592,72.5361366622864,True
110,44.71,1.48,49.33,15,358.292307692305,32.1903129018431,True
111,44.71,1.48,49.33,5,610.279028846155,7.79510022271718,True
112,44.71,1.48,49.33,10,655.118518518503,6.74551029347349,True
113,44.71,1.48,49.33,10,879.26666666664,0.613228208497562,True
114,44.71,1.48,49.33,10,150.785185185182,95.4445904511606,True
115,44.71,1.48,49.33,15,775.83076923076,3.04329189884275,True
116,44.71,1.48,49.33,5,59.0180288461538,98.4409799554566,True
117,44.71,1.48,49.33,5,646.757028846156,7.30512249443213,True
118,44.71,1.48,49.33,5,509.568028846154,8.81959910913142,True
119,44.71,1.48,49.33,15,280.230769230768,78.2254607801113,True
120,44.71,1.48,49.33,5,492.915028846154,11.3585746102386,True
121,44.71,1.48,49.33,10,417.785185185176,14.5422689443715,True
122,44.71,1.48,49.33,10,772.466666666647,3.63556723609294,True
123,44.71,1.48,49.33,10,727.63703703702,4.77441962330275,True
124,44.71,1.48,49.33,10,165.288888888885,95.0941743320192,True
125,44.71,1.48,49.33,5,738.74502884616,6.1469933184856,True
126,44.71,1.48,49.33,5,704.64602884616,6.54788418708249,True
127,44.71,1.48,49.33,10,117.82222222222,96.3206307490145,True
128,44.71,1.48,49.33,5,736.36602884616,6.1469933184856,True
129,44.71,1.48,49.33,15,283.861538461537,77.4967852550364,True
130,44.71,1.48,49.33,5,420.072716346154,16.1692650334071,True
131,44.71,1.48,49.33,5,133.549278846154,94.3875278396436,True
132,44.71,1.48,49.33,10,308.348148148141,60.5781865965834,True
133,44.71,1.48,49.33,10,770.488888888869,3.67936925098553,True
134,44.71,1.48,49.33,10,900.36296296293,0.0876040297853215,True
135,44.71,1.48,49.33,10,45.9629629629619,99.1239597021463,True
136,44.71,1.48,49.33,5,104.721153846154,95.1002227171493,True
137,44.71,1.48,49.33,15,646.030769230762,7.45820831547376,True
138,44.71,1.48,49.33,10,554.911111111098,9.32982917214196,True
139,44.71,1.48,49.33,15,166.769230769231,93.4419202743248,True
140,44.71,1.48,49.33,5,300.189903846154,58.218262806236,True
141,44.71,1.48,49.33,5,311.791466346154,50.1113585746102,True
142,44.71,1.48,49.33,15,616.076923076916,8.52978996999578,True
143,44.71,1.48,49.33,10,575.348148148135,8.89180902321504,True
144,44.71,1.48,49.33,10,610.948148148134,7.79675865089797,True
145,44.71,1.48,49.33,5,341.322716346154,37.5946547884187,True
146,44.71,1.48,49.33,5,645.171028846155,7.30512249443213,True
147,44.71,1.48,49.33,5,488.950028846154,11.5812917594594,True
148,44.71,1.48,49.33,5,399.330528846154,17.2383073496659,True
149,44.71,1.48,49.33,15,853.8923076923,2.10030004286339,True
150,44.71,1.48,49.33,15,893.83076923076,0.214316330904524,True
151,44.71,1.48,49.33,5,88.1977163461538,95.8129175946547,True
152,44.71,1.48,49.33,10,672.259259259244,6.17608409986867,True
153,44.71,1.48,49.33,10,43.985185185184,99.3867717915024,True
154,44.71,1.48,49.33,10,512.718518518507,10.3810775295664,True
155,44.71,1.48,49.33,10,193.637037037033,93.8677179150241,True
156,44.71,1.48,49.33,5,772.05102884617,5.30066815144765,True
