,C,H,O,heat_rate,T,mass_porc,biomass_ESP,biomass_EU,biomass_MCP,biomass_MSP,biomass_MV,biomass_OU,biomass_PP,biomass_SD
0,61.93,0.91,35.47,20,481.719999999995,71.2118570183086,False,True,False,False,False,False,False,False
1,44.71,1.48,49.33,5,208.432091346154,90.3786191536748,False,False,False,False,False,False,False,True
2,44.71,1.48,49.33,10,187.04444444444,94.2619360490582,False,False,False,False,False,False,False,True
3,61.93,0.91,35.47,15,885.419999999988,13.5205861828332,False,True,False,False,False,False,False,False
4,45.51,5.58,41.82,5,832.383,22.50680625,False,False,False,True,False,False,False,False
5,61.93,0.91,35.47,15,753.83999999999,28.9427773900907,False,True,False,False,False,False,False,False
6,45.49,5.61,42.1,10,675.64801,24.486280338983,False,False,True,False,False,False,False,False
7,75.63,0.79,22.14,20,356.839999999999,84.2233922527266,False,False,False,False,False,True,False,False
8,44.71,1.48,49.33,15,844.81538461537,2.40034290612948,False,False,False,False,False,False,False,True
9,48.95,1.38,48.41,5,249.200000000008,74.4978681183128,False,False,False,False,False,False,True,False
10,44.71,1.48,49.33,5,272.416466346154,81.7371937639198,False,False,False,False,False,False,False,True
11,45.51,5.58,41.82,5,110.391,92.0609142045455,False,False,False,True,False,False,False,False
12,75.63,0.79,22.14,20,197.72,93.4561865362918,False,False,False,False,False,True,False,False
13,41.67,5.28,39.77,10,576.0,6.58412,True,False,False,False,False,False,False,False
14,45.49,5.61,42.1,10,743.15302,23.4123877966102,False,False,True,False,False,False,False,False
15,45.49,5.61,42.1,5,285.073,66.0112571428571,False,False,True,False,False,False,False,False
16,75.63,0.79,22.14,10,876.499999999984,12.148288973384,False,False,False,False,False,True,False,False
17,41.67,5.28,39.77,20,371.0,23.1078581195206,True,False,False,False,False,False,False,False
18,45.49,5.61,42.1,5,867.08398,17.6865111111111,False,False,True,False,False,False,False,False
19,45.51,5.58,41.82,15,328.11099,57.8728806024096,False,False,False,True,False,False,False,False
20,48.95,1.38,48.41,10,84.9999999999986,98.0988593155894,False,False,False,False,False,False,True,False
21,45.51,5.58,41.82,5,712.52002,23.5615869318182,False,False,False,True,False,False,False,False
22,45.49,5.61,42.1,15,401.84799,35.474176,False,False,True,False,False,False,False,False
23,45.51,5.58,41.82,10,199.15199,91.1788152941177,False,False,False,True,False,False,False,False
24,44.71,1.48,49.33,5,389.838341346154,18.0846325167037,False,False,False,False,False,False,False,True
25,48.95,1.38,48.41,15,633.802925000017,3.06781485468247,False,False,False,False,False,False,True,False
26,45.49,5.61,42.1,5,765.46997,18.9476349206349,False,False,True,False,False,False,False,False
27,45.49,5.61,42.1,5,440.66501,27.7899936507937,False,False,True,False,False,False,False,False
28,61.93,0.91,35.47,10,606.399999999985,43.6999147485081,False,True,False,False,False,False,False,False
29,78.78,0.82,19.91,10,424.840000000008,55.9333795975017,False,False,False,False,True,False,False,False
30,45.51,5.58,41.82,5,358.41,41.3406801136364,False,False,False,True,False,False,False,False
31,48.95,1.38,48.41,5,218.600000000007,94.7440401169184,False,False,False,False,False,False,True,False
32,45.51,5.58,41.82,5,533.62903,27.1745295454546,False,False,False,True,False,False,False,False
33,75.63,0.79,22.14,10,118.340000000001,93.8022813688213,False,False,False,False,False,True,False,False
34,44.71,1.48,49.33,5,678.477028846156,6.90423162583524,False,False,False,False,False,False,False,True
35,75.63,0.79,22.14,20,51.0800000000003,99.4358781496804,False,False,False,False,False,True,False,False
36,75.63,0.79,22.14,20,865.399999999982,30.8950733358406,False,False,False,False,False,True,False,False
37,78.78,0.82,19.91,15,277.129999999996,92.9167376128044,False,False,False,False,True,False,False,False
38,75.63,0.79,22.14,10,271.159999999999,86.5589353612167,False,False,False,False,False,True,False,False
39,45.49,5.61,42.1,5,126.17,89.0141428571429,False,False,True,False,False,False,False,False
40,41.67,5.28,39.77,15,794.0,4.97678,True,False,False,False,False,False,False,False
41,48.95,1.38,48.41,5,290.327,30.0367380869379,False,False,False,False,False,False,True,False
42,45.49,5.61,42.1,15,213.56799,89.050816,False,False,True,False,False,False,False,False
43,61.93,0.91,35.47,10,855.699999999995,24.9104859335038,False,True,False,False,False,False,False,False
44,41.67,5.28,39.77,10,179.0,99.01253,True,False,False,False,False,False,False,False
45,45.51,5.58,41.82,5,443.94,31.5522619318181,False,False,False,True,False,False,False,False
46,75.63,0.79,22.14,10,231.739999999999,88.4980988593156,False,False,False,False,False,True,False,False
47,44.71,1.48,49.33,5,36.1664663461539,99.5991091314031,False,False,False,False,False,False,False,True
48,45.51,5.58,41.82,5,183.436,88.4217176136363,False,False,False,True,False,False,False,False
49,75.63,0.79,22.14,10,239.839999999999,88.1368821292775,False,False,False,False,False,True,False,False
50,48.95,1.38,48.41,10,277.600000000006,69.1254752851711,False,False,False,False,False,False,True,False
51,48.95,1.38,48.41,5,417.303000000001,22.3941433589874,False,False,False,False,False,False,True,False
52,45.51,5.58,41.82,5,440.83401,31.7972619318182,False,False,False,True,False,False,False,False
53,44.71,1.48,49.33,10,168.585185185181,94.9627682873411,False,False,False,False,False,False,False,True
54,75.63,0.79,22.14,10,498.500000000008,34.1634980988593,False,False,False,False,False,True,False,False
55,45.51,5.58,41.82,5,509.392,28.0304426136364,False,False,False,True,False,False,False,False
56,45.49,5.61,42.1,10,327.08499,57.8026949152542,False,False,True,False,False,False,False,False
57,75.63,0.79,22.14,10,283.04,85.2281368821293,False,False,False,False,False,True,False,False
58,41.67,5.28,39.77,10,485.0,7.13371,True,False,False,False,False,False,False,False
59,41.67,5.28,39.77,15,35.0,100.0,True,False,False,False,False,False,False,False
60,75.63,0.79,22.14,10,414.800000000005,47.8326996197718,False,False,False,False,False,True,False,False
61,44.71,1.48,49.33,5,787.11802884617,4.67706013363031,False,False,False,False,False,False,False,True
62,44.71,1.48,49.33,5,82.9242788461538,96.0356347438752,False,False,False,False,False,False,False,True
63,45.51,5.58,41.82,10,390.33401,40.3541176470588,False,False,False,True,False,False,False,False
64,45.49,5.61,42.1,15,323.41299,56.7131680000001,False,False,True,False,False,False,False,False
65,44.71,1.48,49.33,5,295.268028846154,61.7371937639198,False,False,False,False,False,False,False,True
66,45.51,5.58,41.82,10,846.05798,24.3529352941176,False,False,False,True,False,False,False,False
67,44.71,1.48,49.33,10,525.903703703692,10.2058694699956,False,False,False,False,False,False,False,True
68,41.67,5.28,39.77,15,89.0,100.01454,True,False,False,False,False,False,False,False
69,78.78,0.82,19.91,10,88.5800000000025,98.9764052741152,False,False,False,False,True,False,False,False
70,41.67,5.28,39.77,15,535.0,7.75764,True,False,False,False,False,False,False,False
71,75.63,0.79,22.14,10,109.7,94.0304182509506,False,False,False,False,False,True,False,False
72,44.71,1.48,49.33,15,93.246153846155,96.1851693099013,False,False,False,False,False,False,False,True
73,48.95,1.38,48.41,10,86.1999999999987,98.0481622306718,False,False,False,False,False,False,True,False
74,78.78,0.82,19.91,10,700.040000000012,23.7335183900069,False,False,False,False,True,False,False,False
75,45.51,5.58,41.82,5,834.63397,22.4877352272728,False,False,False,True,False,False,False,False
76,45.49,5.61,42.1,10,546.95898,27.6906715254237,False,False,True,False,False,False,False,False
77,48.95,1.38,48.41,10,511.600000000015,16.2230671736375,False,False,False,False,False,False,True,False
78,41.67,5.28,39.77,10,750.0,5.85424,True,False,False,False,False,False,False,False
79,41.67,5.28,39.77,15,212.0,97.38935,True,False,False,False,False,False,False,False
80,75.63,0.79,22.14,10,58.3999999999999,96.254752851711,False,False,False,False,False,True,False,False
81,78.78,0.82,19.91,20,854.260000000019,14.3273350471294,False,False,False,False,True,False,False,False
82,61.93,0.91,35.47,10,711.699999999982,35.0554134697357,False,True,False,False,False,False,False,False
83,45.49,5.61,42.1,5,211.174,84.2085746031745,False,False,True,False,False,False,False,False
84,45.51,5.58,41.82,5,210.72,86.5184017045455,False,False,False,True,False,False,False,False
85,45.49,5.61,42.1,5,596.63202,21.6279333333333,False,False,True,False,False,False,False,False
86,75.63,0.79,22.14,20,314.720000000001,85.9721699887176,False,False,False,False,False,True,False,False
87,61.93,0.91,35.47,15,772.19999999999,25.8897418004187,False,True,False,False,False,False,False,False
88,48.95,1.38,48.41,10,224.800000000004,90.9759188846642,False,False,False,False,False,False,True,False
89,75.63,0.79,22.14,10,782.53999999999,18.4790874524715,False,False,False,False,False,True,False,False
90,78.78,0.82,19.91,20,706.68000000001,21.8680377035133,False,False,False,False,True,False,False,False
91,44.71,1.48,49.33,5,721.29902884616,6.36971046770604,False,False,False,False,False,False,False,True
92,78.78,0.82,19.91,10,383.560000000007,63.1679389312977,False,False,False,False,True,False,False,False
93,45.49,5.61,42.1,5,527.76599,23.5617333333334,False,False,True,False,False,False,False,False
94,78.78,0.82,19.91,20,551.580000000001,33.9845758354756,False,False,False,False,True,False,False,False
95,45.49,5.61,42.1,10,587.84497,26.4374413559322,False,False,True,False,False,False,False,False
96,44.71,1.48,49.33,5,591.247028846155,8.06236080178178,False,False,False,False,False,False,False,True
97,48.95,1.38,48.41,10,563.800000000017,13.1558935361217,False,False,False,False,False,False,True,False
98,41.67,5.28,39.77,10,94.0,99.63538,True,False,False,False,False,False,False,False
99,45.49,5.61,42.1,5,520.11499,23.8304825396825,False,False,True,False,False,False,False,False
100,45.51,5.58,41.82,5,389.58801,36.9626136363637,False,False,False,True,False,False,False,False
101,41.67,5.28,39.77,20,65.0,100.0,True,False,False,False,False,False,False,False
102,44.71,1.48,49.33,15,861.15384615383,1.88598371195887,False,False,False,False,False,False,False,True
103,41.67,5.28,39.77,15,609.0,6.90944,True,False,False,False,False,False,False,False
104,48.95,1.38,48.41,5,37.1000000000002,99.8122871470329,False,False,False,False,False,False,True,False
105,44.71,1.48,49.33,10,262.199999999994,78.9312308366184,False,False,False,False,False,False,False,True
106,45.51,5.58,41.82,10,205.453,90.8144771764706,False,False,False,True,False,False,False,False
107,45.51,5.58,41.82,5,488.65201,28.9042017045454,False,False,False,True,False,False,False,False
108,45.51,5.58,41.82,15,224.786,87.7060092771085,False,False,False,True,False,False,False,False
109,45.51,5.58,41.82,5,687.78101,23.8626028409091,False,False,False,True,False,False,False,False
110,45.49,5.61,42.1,5,430.77301,28.5323714285715,False,False,True,False,False,False,False,False
111,78.78,0.82,19.91,20,902.200000000022,9.70008568980289,False,False,False,False,True,False,False,False
112,44.71,1.48,49.33,5,773.63702884617,5.16703786191535,False,False,False,False,False,False,False,True
113,75.63,0.79,22.14,15,56.0600000000014,99.5115001017708,False,False,False,False,False,True,False,False
114,45.51,5.58,41.82,5,846.62701,22.4045465909091,False,False,False,True,False,False,False,False
115,61.93,0.91,35.47,10,534.399999999987,49.769820971867,False,True,False,False,False,False,False,False
116,61.93,0.91,35.47,10,587.499999999985,45.3708439897699,False,True,False,False,False,False,False,False
117,45.49,5.61,42.1,5,190.57899,86.4226825396825,False,False,True,False,False,False,False,False
118,45.49,5.61,42.1,10,261.37201,79.686593220339,False,False,True,False,False,False,False,False
119,45.51,5.58,41.82,10,456.53799,33.3491856470588,False,False,False,True,False,False,False,False
120,45.49,5.61,42.1,5,359.12701,36.8611174603175,False,False,True,False,False,False,False,False
121,45.49,5.61,42.1,15,261.57599,80.7775120000001,False,False,True,False,False,False,False,False
122,44.71,1.48,49.33,10,451.407407407397,12.3083661848444,False,False,False,False,False,False,False,True
123,45.51,5.58,41.82,5,620.948,24.9054676136364,False,False,False,True,False,False,False,False
124,75.63,0.79,22.14,10,118.880000000001,93.7832699619772,False,False,False,False,False,True,False,False
125,45.51,5.58,41.82,15,684.914,24.4473420481927,False,False,False,True,False,False,False,False
126,41.67,5.28,39.77,20,883.0,6.21732486125628,True,False,False,False,False,False,False,False
127,44.71,1.48,49.33,15,366.461538461535,30.1328761251607,False,False,False,False,False,False,False,True
128,41.67,5.28,39.77,20,54.0,100.0,True,False,False,False,False,False,False,False
129,44.71,1.48,49.33,5,62.1820913461538,98.1291759465478,False,False,False,False,False,False,False,True
130,48.95,1.38,48.41,5,121.700000000003,98.766458394787,False,False,False,False,False,False,True,False
131,44.71,1.48,49.33,5,642.792028846156,7.39420935412028,False,False,False,False,False,False,False,True
132,61.93,0.91,35.47,20,363.639999999996,86.4341761115955,False,True,False,False,False,False,False,False
133,41.67,5.28,39.77,15,311.0,38.09417,True,False,False,False,False,False,False,False
134,45.49,5.61,42.1,10,524.07898,28.5221861016949,False,False,True,False,False,False,False,False
135,61.93,0.91,35.47,15,748.73999999999,29.8848569434752,False,True,False,False,False,False,False,False
136,45.49,5.61,42.1,15,41.263,99.691156,False,False,True,False,False,False,False,False
137,78.78,0.82,19.91,10,602.860000000011,29.6495489243581,False,False,False,False,True,False,False,False
138,45.51,5.58,41.82,15,329.465,57.4148063855422,False,False,False,True,False,False,False,False
139,45.51,5.58,41.82,15,405.315,39.1085625301205,False,False,False,True,False,False,False,False
140,61.93,0.91,35.47,20,614.559999999994,46.9398430688753,False,True,False,False,False,False,False,False
141,48.95,1.38,48.41,10,192.400000000003,93.3586818757921,False,False,False,False,False,False,True,False
142,45.49,5.61,42.1,15,529.86298,23.3656839999999,False,False,True,False,False,False,False,False
143,45.49,5.61,42.1,5,629.05701,20.9787238095238,False,False,True,False,False,False,False,False
144,48.95,1.38,48.41,10,532.600000000016,14.9556400506971,False,False,False,False,False,False,True,False
145,78.78,0.82,19.91,20,200.02,97.8748928877463,False,False,False,False,True,False,False,False
146,75.63,0.79,22.14,10,649.159999999999,24.106463878327,False,False,False,False,False,True,False,False
147,61.93,0.91,35.47,10,504.699999999987,51.304347826087,False,True,False,False,False,False,False,False
148,75.63,0.79,22.14,10,347.300000000002,72.4144486692015,False,False,False,False,False,True,False,False
149,78.78,0.82,19.91,15,396.199999999996,73.2674953175549,False,False,False,False,True,False,False,False
150,75.63,0.79,22.14,15,540.589999999991,45.6543863220028,False,False,False,False,False,True,False,False
151,61.93,0.91,35.47,15,32.7000000000002,99.8604326587579,False,True,False,False,False,False,False,False
152,41.67,5.28,39.77,20,487.0,11.7067481701922,True,False,False,False,False,False,False,False
153,75.63,0.79,22.14,15,35.6000000000012,99.8575208630165,False,False,False,False,False,True,False,False
154,48.95,1.38,48.41,15,115.216475000002,96.178686759957,False,False,False,False,False,False,True,False
155,45.49,5.61,42.1,10,428.89499,33.8903247457628,False,False,True,False,False,False,False,False
156,45.49,5.61,42.1,5,297.95599,61.4682571428571,False,False,True,False,False,False,False,False
157,44.71,1.48,49.33,5,79.7602163461538,96.1692650334075,False,False,False,False,False,False,False,True
158,41.67,5.28,39.77,15,91.0,100.00715,True,False,False,False,False,False,False,False
159,44.71,1.48,49.33,5,114.564903846154,94.8775055679286,False,False,False,False,False,False,False,True
160,45.49,5.61,42.1,5,837.43298,18.0601619047619,False,False,True,False,False,False,False,False
161,78.78,0.82,19.91,20,517.739999999999,42.7249357326478,False,False,False,False,True,False,False,False
162,41.67,5.28,39.77,10,242.0,90.99104,True,False,False,False,False,False,False,False
163,45.49,5.61,42.1,5,706.59698,19.7368412698413,False,False,True,False,False,False,False,False
164,44.71,1.48,49.33,15,555.261538461533,10.630090012859,False,False,False,False,False,False,False,True
165,41.67,5.28,39.77,10,598.0,6.17559,True,False,False,False,False,False,False,False
166,61.93,0.91,35.47,20,384.959999999996,85.6320836965999,False,True,False,False,False,False,False,False
167,45.51,5.58,41.82,5,782.16998,22.8622789772727,False,False,False,True,False,False,False,False
168,75.63,0.79,22.14,10,219.319999999999,89.2205323193916,False,False,False,False,False,True,False,False
169,45.49,5.61,42.1,10,677.91998,24.4488018644068,False,False,True,False,False,False,False,False
170,61.93,0.91,35.47,10,287.799999999993,74.5609548167093,False,True,False,False,False,False,False,False
171,75.63,0.79,22.14,10,299.78,83.1368821292776,False,False,False,False,False,True,False,False
172,45.49,5.61,42.1,10,118.583,93.8252466101695,False,False,True,False,False,False,False,False
173,41.67,5.28,39.77,15,70.0,100.03662,True,False,False,False,False,False,False,False
174,45.49,5.61,42.1,15,345.28699,45.845344,False,False,True,False,False,False,False,False
175,61.93,0.91,35.47,20,138.959999999998,98.5178727114211,False,True,False,False,False,False,False,False
176,78.78,0.82,19.91,20,757.440000000013,18.3890317052271,False,False,False,False,True,False,False,False
177,75.63,0.79,22.14,10,267.379999999999,86.7110266159696,False,False,False,False,False,True,False,False
178,45.49,5.61,42.1,5,198.08701,85.7771396825397,False,False,True,False,False,False,False,False
179,41.67,5.28,39.77,10,74.0,100.10024,True,False,False,False,False,False,False,False
180,45.49,5.61,42.1,15,289.40601,70.910488,False,False,True,False,False,False,False,False
181,48.95,1.38,48.41,5,147.500000000004,98.0424231047707,False,False,False,False,False,False,True,False
182,45.51,5.58,41.82,10,895.763,24.0271748235294,False,False,False,True,False,False,False,False
183,45.49,5.61,42.1,5,200.30299,85.5425428571428,False,False,True,False,False,False,False,False
184,78.78,0.82,19.91,10,112.660000000003,98.6988202637058,False,False,False,False,True,False,False,False
185,78.78,0.82,19.91,15,621.109999999994,23.1057381236165,False,False,False,False,True,False,False,False
186,41.67,5.28,39.77,10,200.0,97.67769,True,False,False,False,False,False,False,False
187,48.95,1.38,48.41,5,278.075000000011,33.0937759781181,False,False,False,False,False,False,True,False
188,78.78,0.82,19.91,20,842.980000000018,14.6872322193659,False,False,False,False,True,False,False,False
189,78.78,0.82,19.91,20,905.960000000022,9.34018851756638,False,False,False,False,True,False,False,False
190,48.95,1.38,48.41,10,95.1999999999989,97.7693282636249,False,False,False,False,False,False,True,False
191,75.63,0.79,22.14,15,452.239999999996,59.6173417463871,False,False,False,False,False,True,False,False
192,44.71,1.48,49.33,5,170.463341346154,93.0957683741648,False,False,False,False,False,False,False,True
193,41.67,5.28,39.77,20,319.0,34.5692914019143,True,False,False,False,False,False,False,False
194,41.67,5.28,39.77,20,357.0,25.4202525536878,True,False,False,False,False,False,False,False
195,41.67,5.28,39.77,20,45.0,100.0,True,False,False,False,False,False,False,False
